,stroma_ad_dysplasia_FA_HN11A_4_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN14_3_linfoides_notumorales.csv,carcinoma_FA_HN14_2_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN14_4_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_2_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_5_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_3_linfoides_notumorales.csv,carcinoma_FA_HN11A_4_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_5_linfoides_notumorales.csv,dysplasia_FA_HN11A_5_linfoides_notumorales.csv,carcinoma_FA_HN14_1_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_5_linfoides_notumorales.csv,carcinoma_FA_HN11A_5_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN15_4_linfoides_notumorales.csv,dysplasia_FA_HN15_3_linfoides_notumorales.csv,carcinoma_FA_HN14_3_linfoides_notumorales.csv,carcinoma_FA_HN11A_1_linfoides_notumorales.csv,dysplasia_FA_HN11A_4_linfoides_notumorales.csv,carcinoma_FA_HN11A_2_linfoides_notumorales.csv,carcinoma_FA_HN15_2_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_4_linfoides_notumorales.csv,dysplasia_FA_HN11A_1_linfoides_notumorales.csv,dysplasia_FA_HN11A_2_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN15_3_linfoides_notumorales.csv,dysplasia_FA_HN14_2_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_1_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_2_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN15_1_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_3_linfoides_notumorales.csv,carcinoma_FA_HN15_1_linfoides_notumorales.csv,carcinoma_FA_HN11A_3_linfoides_notumorales.csv,dysplasia_FA_HN15_5_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_3_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_1_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN14_1_linfoides_notumorales.csv,dysplasia_FA_HN14_1_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_4_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_linfoides_notumorales.csv,carcinoma_FA_HN14_4_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_2_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN15_2_linfoides_notumorales.csv,dysplasia_FA_HN11A_3_linfoides_notumorales.csv,stroma_ad_dysplasia_FA_HN14_2_linfoides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_1_linfoides_notumorales.csv,dysplasia_FA_HN15_2_linfoides_notumorales.csv
stroma_ad_dysplasia_FA_HN11A_4_linfoides_notumorales.csv,0.0,9639.133467899812,8132.9955868191155,6293.272442045252,6304.816162335295,7560.921596834468,5659.72959973897,8219.83153615556,5528.391658605615,7462.092895301232,7120.737981489512,3953.8824792746327,4710.900992956985,8027.7109683844865,10090.429231015067,7523.461177587455,7322.812814615369,8055.391549915391,8246.269041421507,7938.012428497836,7621.099369646162,1256.9034175988318,7197.558942454793,4666.347800568706,6792.156820737181,6747.747219246629,6735.963773660859,4063.797152587316,7935.829621204859,8513.138450359445,7601.718759392312,8214.460583373888,8307.323299697737,2320.26027018026,5475.033995789936,6473.99916923832,6848.466297488733,3533.7842257835027,7135.889222663266,7414.238741718635,3833.524195296656,7413.906539794746,8387.642741562866,5179.5928700357845,3798.629320980187,7711.950054978028
stroma_ad_dysplasia_FA_HN14_3_linfoides_notumorales.csv,9639.133467899812,0.0,10656.50034365734,4923.998198552864,4022.8981431111033,7098.64790418435,4882.840559570145,10965.46496446956,6177.972697909986,7698.23992954465,9409.054329537452,6811.130569524,6234.672414470186,5990.006105891048,11630.472209193227,10240.8659567225,9859.032360700901,9227.810608354788,9236.550719094135,8468.917142432623,8220.453562843168,9266.505494709909,5614.117255220546,5114.735987902464,8755.225809289659,5727.486181245872,5502.31771965511,6396.202352528854,4532.861201407373,1574.1665581651816,8155.079338895685,11297.524335455448,10730.01127317662,7614.118036915465,4900.55296976198,3865.5596782979787,9578.65702376967,6992.754845972071,6972.470242695939,10363.356476081803,6557.5411406519725,3580.7043669096274,8100.192387237958,5483.330180229181,6638.622838213685,10731.051416827597
carcinoma_FA_HN14_2_linfoides_notumorales.csv,8132.9955868191155,10656.50034365734,0.0,6584.409980377491,8952.5873042484,4584.992204287836,7699.661240122861,548.7498957842552,6401.6158356798305,3190.1556828601188,1335.7622021180853,10075.524503164006,4820.798825841897,5827.214531531146,2346.022996572091,889.3959120215158,1136.4317323805194,1710.790559762384,1786.2306685229073,2410.849351596752,2752.961749889272,8617.254538830857,5923.197004610353,8152.271355967854,2685.6307240017295,5739.596807448467,6406.198439342961,7740.788561924188,6868.705937005089,10743.867517370287,2653.4601408185845,865.1814969790519,548.9015694018275,7544.1009564919705,8027.571177096797,9569.473291338896,1742.7648137609358,9570.752345690405,4276.265137308456,904.7963530818575,8722.007448595938,8558.820260698598,2911.585749797281,7324.490830499421,8203.344615708358,647.5601040070873
stroma_ad_dysplasia_FA_HN14_4_linfoides_notumorales.csv,6293.272442045252,4923.998198552864,6584.409980377491,0.0,2446.0291832240846,2829.3537546184584,1857.3759778028623,6903.0268762223095,1726.6562567266185,4173.976393298636,5379.425363953317,4697.253554195183,2710.6013925812545,3012.840492754563,8232.98561175918,6095.439618078325,5523.576823242204,5575.271544920183,5630.629107627408,4858.931770048175,4500.044265796511,6215.634209298345,1369.6796194562764,3130.5652407709003,4115.718207530674,1747.0654923973443,1132.1121285609133,2704.2776125249684,1983.990271668453,4420.737071138965,4125.4795848472195,7016.426829626653,6755.785699130807,4086.3343308634794,1893.747353910259,3453.949783611158,4985.704819704224,4417.171267914513,3224.547388609047,6050.754812874364,3769.8630118183714,2443.3869751384304,5069.082084736427,1790.7482681263202,3112.9158704602055,6444.419492858256
stroma_ad_dysplasia_FA_HN15_2_linfoides_notumorales.csv,6304.816162335295,4022.8981431111033,8952.5873042484,2446.0291832240846,0.0,4434.095096870542,1888.9677001066011,9273.330232889222,2929.888877587325,6203.96377112294,7760.666834207753,3791.273359621979,4234.9467164318585,4453.651489529669,10525.565780351708,8467.256394288668,7890.332811450118,7841.227477229543,7921.464171271817,7114.107464118989,6574.995206261471,5778.261777064498,3133.6563291813795,2673.632046369213,6333.288910461831,3398.182180903925,2746.8894349307293,2518.456917101,3203.551069174955,2783.7773033800895,6400.330669336639,9341.313655772807,9132.894314678811,4183.236489332024,1224.9035240942871,1899.5249158885822,7297.219842294245,3622.59489038458,5136.138174273639,8428.74475545576,3040.606032751342,2064.97698090657,7012.61810833258,2091.2718592884553,2872.7289074038877,8799.157816964598
stroma_ad_dysplasia_FA_HN15_5_linfoides_notumorales.csv,7560.921596834468,7098.64790418435,4584.992204287836,2829.3537546184584,4434.095096870542,0.0,4129.213179685164,4906.863287310874,2705.218526955181,1877.0640168836564,3409.696462798461,6821.579175032434,4016.6129391480695,1698.1151314871345,6171.608220808763,4106.01436605265,3534.075019849589,3482.1157392192076,3560.5529065010833,2771.645059848631,2230.2408733734624,7459.661770396189,1733.7512605802533,5009.199239970056,1995.417075719255,1573.9583052611451,2265.2328961365047,4309.94900606096,2925.9332233369837,6545.481270157367,2053.793418017893,4978.0622845055095,4773.335807690133,5486.197370613006,3908.2162645487206,5758.537742547767,2943.241909383706,6020.885291677466,1112.0167130160917,4061.7572311515078,5879.655756019065,4450.322262547361,2672.6141693209674,4086.171027856335,4657.779362583561,4432.4888091182265
stroma_ad_carcinoma_FA_HN14_3_linfoides_notumorales.csv,5659.72959973897,4882.840559570145,7699.661240122861,1857.3759778028623,1888.9677001066011,4129.213179685164,0.0,7994.694217440628,1930.8044932927826,5614.914102851653,6628.80031645801,3091.3422430862347,3271.0082895643322,4485.846000372189,9631.493251916823,7285.101339417585,6767.110517190412,6964.79875742196,7044.623648479535,6263.2855569262865,5908.658597615207,5083.569460817351,2850.5322116620673,2742.6806308161877,5213.158741471878,3222.1250443927306,2159.0471393408525,1793.6255135497017,3627.5987563148233,3849.514489954115,5512.425832878559,7891.252590418834,7946.979418343422,3710.8386619959792,1119.630372039755,1989.5106394847605,6060.975746257378,3149.6135059274316,4684.433775741312,7092.587468723234,2284.838692938571,2443.838185988688,6555.065160349133,927.1413528369301,2017.8663061991826,7444.714576373981
carcinoma_FA_HN11A_4_linfoides_notumorales.csv,8219.83153615556,10965.46496446956,548.7498957842552,6903.0268762223095,9273.330232889222,4906.863287310874,7994.694217440628,0.0,6702.293793679097,3517.4950791851106,1609.9363511817287,10320.07426355443,5194.922969739424,6138.514324057248,2236.4013418617774,916.3652439497018,1486.8358470885478,2120.967106064637,2195.7124898675333,2805.3006732614353,3065.064483269708,8905.978766928745,6247.500535565527,8458.818503470395,2987.488021352872,6065.192419219693,6727.757169255622,8059.528083633656,7195.829764422541,11068.348435460573,3032.25275812738,900.4807131810713,660.1316751748517,7860.125527165357,8351.02433500565,9822.030285247774,1995.8616212043853,9890.394795992024,4604.515276012535,1083.797694024963,8936.249486861983,8868.85538113057,3241.799467183175,7618.3374858154675,8506.306644964394,836.894812896965
stroma_ad_dysplasia_FA_HN11A_5_linfoides_notumorales.csv,5528.391658605615,6177.972697909986,6401.6158356798305,1726.6562567266185,2929.888877587325,2705.218526955181,1930.8044932927826,6702.293793679097,0.0,4206.116590124088,5332.703864959392,4322.585461916208,2789.2056902237255,3073.438977610721,8335.094204952902,5977.466922813271,5474.849509737298,5655.137973515804,5734.951837369652,4948.704561065706,4554.439895678913,5249.464857612151,2034.1785844985943,3335.7519066742266,3927.535527951122,1761.7267290626341,1361.905622493889,1870.8888345576665,2982.135668940317,5269.823334742447,4151.698973833078,6630.519754599883,6643.469870030733,3557.0823801701404,2047.426974736473,3571.2256162572303,4761.173589720369,3748.1046459284544,3208.375590692692,5800.382376910018,3291.8846196705517,3386.648416125684,5104.887529208755,1528.1124901298895,2253.15400501324,6161.039019494765
dysplasia_FA_HN11A_5_linfoides_notumorales.csv,7462.092895301232,7698.23992954465,3190.1556828601188,4173.976393298636,6203.96377112294,1877.0640168836564,5614.914102851653,3517.4950791851106,4206.116590124088,0.0,2022.520061196874,8184.273901504749,3584.8604616018247,2690.647916037671,4428.023346982052,2825.9600040846535,2391.8880797767197,1828.2513116150367,1845.9218102158088,1289.7505536022786,1021.8609830073933,7764.216186176223,3252.2955096591095,5204.660573627093,1605.0750330844726,2889.727973673214,3996.63008251324,5612.206567772452,3830.8880952923387,7787.106438812774,997.0171228083233,3845.1865520595925,3260.227168929352,5810.811564991097,5648.115061815037,7461.982356602111,2241.8907515132255,7255.096622765835,1322.9614536248705,2884.565241912756,7115.5305276199115,5422.043284201187,1125.274814053275,5424.32446950145,6057.59874050956,3280.777704858106
