,dysplasia_FA_HN14_2_mieloides_tumorales.csv,carcinoma_FA_HN11A_3_mieloides_tumorales.csv,dysplasia_FA_HN15_1_mieloides_tumorales.csv,carcinoma_FA_HN14_1_mieloides_tumorales.csv,stroma_ad_dysplasia_FA_HN14_3_mieloides_tumorales.csv,dysplasia_FA_HN15_2_mieloides_tumorales.csv,carcinoma_FA_HN11A_1_mieloides_tumorales.csv,carcinoma_FA_HN11A_4_mieloides_tumorales.csv,stroma_ad_dysplasia_FA_HN14_2_mieloides_tumorales.csv,dysplasia_FA_HN15_3_mieloides_tumorales.csv,dysplasia_FA_HN11A_5_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN15_4_mieloides_tumorales.csv,carcinoma_FA_HN14_3_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_mieloides_tumorales.csv,dysplasia_FA_HN11A_2_mieloides_tumorales.csv,carcinoma_FA_HN15_2_mieloides_tumorales.csv,stroma_ad_dysplasia_FA_HN15_2_mieloides_tumorales.csv,carcinoma_FA_HN14_4_mieloides_tumorales.csv,carcinoma_FA_HN14_2_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN15_1_mieloides_tumorales.csv,dysplasia_FA_HN15_5_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_4_mieloides_tumorales.csv,stroma_ad_dysplasia_FA_HN14_1_mieloides_tumorales.csv,dysplasia_FA_HN11A_3_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN15_3_mieloides_tumorales.csv,carcinoma_FA_HN11A_2_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_2_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_3_mieloides_tumorales.csv,dysplasia_FA_HN14_1_mieloides_tumorales.csv,carcinoma_FA_HN15_1_mieloides_tumorales.csv,carcinoma_FA_HN11A_5_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_mieloides_tumorales.csv,stroma_ad_dysplasia_FA_HN15_3_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_1_mieloides_tumorales.csv,dysplasia_FA_HN11A_4_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN15_2_mieloides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_5_mieloides_tumorales.csv,dysplasia_FA_HN11A_1_mieloides_tumorales.csv,stroma_ad_dysplasia_FA_HN14_4_mieloides_tumorales.csv
dysplasia_FA_HN14_2_mieloides_tumorales.csv,0.0,4580.4240948880015,4617.832908938523,3723.66131229677,7029.003975686717,4922.556735572267,4473.126213912403,4725.719336994867,6040.10990690261,7393.254897336154,2091.8383824259977,2759.1700937248124,5660.444818574886,6281.964533189964,3708.288754805976,3961.094402643949,5224.144900357773,3917.492443969295,4932.962050443524,2948.4576885249,3371.228924148645,7323.658914600777,6471.696714018925,3488.837297785027,5917.4305255391955,3275.5911979842713,7215.011166414911,5057.271169628428,3109.4620387291798,4407.74362525879,3171.232126823174,3738.5717791234206,6902.537644011386,6799.400558757825,3157.0191348717685,5133.599355853954,7459.684063801147,7875.207292747312,6256.845660603083
carcinoma_FA_HN11A_3_mieloides_tumorales.csv,4580.4240948880015,0.0,2879.3731315729992,1622.391664757137,10689.033882121632,3568.0017796005345,1705.655676800593,1700.542286805675,7692.2086725717645,8065.8600799997685,2989.8865924418415,3787.2313861965663,4275.286594174765,6518.306975932081,5331.109053497301,5003.557893789875,7492.95484153253,1851.2307430307935,2726.383252282558,4917.632393721166,2016.166046049374,9141.464451660102,8410.621710951415,4304.2129467843,9348.363068789762,1643.994574553509,8760.607978404078,6300.640095685619,4667.554962165842,5460.45639854947,4771.69123151679,4933.782755840168,10365.578148055702,8322.566880347364,2196.1086096897266,8550.741644945843,9163.069076604674,9061.486701199954,8457.560916568604
dysplasia_FA_HN15_1_mieloides_tumorales.csv,4617.832908938523,2879.3731315729992,0.0,3801.6013102330576,10404.570712286735,1619.9535927149682,4312.982020849054,4398.4411908151,9291.166547933786,5290.839361180978,3373.3107246243917,5391.980917970484,6855.009505955916,8772.73231551525,7224.135009946461,2947.833084046129,8733.587027206215,4142.3478990743415,1888.4562620283252,5804.820908758044,1672.9784877563761,10698.932068583994,10005.458680917754,2300.128556261933,8825.182007325428,3167.5910804261275,10402.581874921956,7637.04335032348,3402.7840395466806,3261.075295292013,5972.5349042579355,6621.433801057363,10253.549094701712,9961.681241592196,2509.3783858266247,7651.5682844125395,10726.776291489283,10603.97570546799,9855.98269902288
carcinoma_FA_HN14_1_mieloides_tumorales.csv,3723.66131229677,1622.391664757137,3801.6013102330576,0.0,9514.20012707453,4405.645620473966,1080.56828465069,1299.5014279393656,6488.0636371636065,8664.913722823963,2615.143169946005,2877.2372501381956,3476.280631707519,5143.851228586225,4072.440979470269,4996.358105665939,6254.858358882742,632.5398181178011,3660.4554836993825,4274.563205820352,2366.5200926910447,8010.510378376366,7303.39939382385,4324.1396952850855,8314.757314812956,1137.208195003806,7589.18103408071,4934.55595321825,4788.027576503456,5554.726079393786,3581.295370470285,3742.0833535394504,9165.86348469071,7183.901540542218,2070.5832656854363,7752.809762459352,8042.999841422442,7943.287233233653,7077.792240419631
stroma_ad_dysplasia_FA_HN14_3_mieloides_tumorales.csv,7029.003975686717,10689.033882121632,10404.570712286735,9514.20012707453,0.0,11059.244738617708,10311.862995927659,10692.572849008873,5097.284026626078,9818.439463731014,8140.654739130958,7530.23336274679,10694.093646552785,9659.417755266433,7531.065694526467,8362.288179665095,3752.060827335954,9691.12707384405,10155.627071117255,6503.686685039091,9744.385023341572,4204.615628118048,4563.4854489319105,8439.707550360225,2438.791178643825,9715.745814263231,5334.117245604103,4957.426548415299,8747.33929683395,8773.068334302654,6141.5955236346335,6865.887303636667,1398.7639599878423,5719.274528424763,9454.73810652291,3485.6404116569815,4306.2872099891765,4522.199599418688,5192.202999862998
dysplasia_FA_HN15_2_mieloides_tumorales.csv,4922.556735572267,3568.0017796005345,1619.9535927149682,4405.645620473966,11059.244738617708,0.0,4899.335062907192,4969.873775728891,9369.30470262082,4778.512139137721,3694.619897029664,5366.882085612701,7629.347299947321,9091.576240742472,7358.6026269244585,3138.745316768161,8928.299618725156,4777.47775828435,2432.396876830867,5744.952366909992,2325.6976625323055,10619.066887761,9830.448942421921,2721.2387513828726,9440.216985127176,3582.4285783634073,10198.405455897173,7761.241016269302,2987.702067730837,3158.2861298663097,6116.626936631146,6667.155043533872,10938.419010412574,9727.623025667743,2830.1264581303167,8170.913213993651,10615.28818668724,10568.614527475342,10336.05194238788
carcinoma_FA_HN11A_1_mieloides_tumorales.csv,4473.126213912403,1705.655676800593,4312.982020849054,1080.56828465069,10311.862995927659,4899.335062907192,0.0,601.7054002376797,6426.538796438479,9392.08509334999,3489.432875822127,3220.963151431189,2773.2624545230615,4970.574855136149,3991.9101906169653,5917.835284910221,6885.014893148653,788.4619467851712,4161.883485515835,5005.820726783176,3106.893168013329,8036.3557962106515,7224.889623396979,5254.261916175669,9176.344831453687,1839.0606496581008,7500.253875288147,5552.085248572616,5403.652000131739,6435.964304489818,4308.697225899816,3729.404821964322,9972.753344511919,7085.632979531044,2986.2988191455706,8661.361357456479,7990.673093776471,8040.178196291782,7448.801577978605
carcinoma_FA_HN11A_4_mieloides_tumorales.csv,4725.719336994867,1700.542286805675,4398.4411908151,1299.5014279393656,10692.572849008873,4969.873775728891,601.7054002376797,0.0,6823.432843635366,9593.69292420266,3712.299310926316,3372.975625882956,2940.9113400133037,4991.945120786241,4175.512884898172,6140.091484407457,7203.905410033262,1090.2311012290797,4307.245075827214,5249.7079435716005,3272.9906882594696,8506.808993946226,7411.223579637177,5477.637334365452,9553.174145615032,1855.457360776631,7671.6051933631015,5970.338592554884,5543.562867830922,6670.831098895736,4661.096475408636,4024.779762874253,10342.749472253825,7282.102911933606,3029.1585022399718,8987.559088689635,8302.396076531833,8514.693318931088,7895.266809446842
stroma_ad_dysplasia_FA_HN14_2_mieloides_tumorales.csv,6040.10990690261,7692.2086725717645,9291.166547933786,6488.0636371636065,5097.284026626078,9369.30470262082,6426.538796438479,6823.432843635366,0.0,11913.101805465074,6149.880653658646,4251.568820587514,6465.363104643917,4710.1041998258315,3422.9625433933693,8360.234991956371,2674.980980780319,6422.937102783757,8902.943423401273,4869.408712414676,7983.28595838786,2175.7202216439805,2329.1899937360467,7937.419139645114,4984.024561568063,6932.587634145545,1570.9923335560386,1775.5149614024774,8091.2443060065025,8518.846027797505,3599.6904255114446,2946.953742853739,4787.533221402728,1825.9966913582077,7177.699224044015,5620.786368669387,2206.1642468336972,2356.3250500512545,2147.2319791632435
dysplasia_FA_HN15_3_mieloides_tumorales.csv,7393.254897336154,8065.8600799997685,5290.839361180978,8664.913722823963,9818.439463731014,4778.512139137721,9392.08509334999,9593.69292420266,11913.101805465074,0.0,6852.173103344109,8781.321567937039,11282.649352319266,13188.846865576093,10703.402487047839,4399.996148410445,10265.304601171809,9012.863110706163,5490.97603879904,7946.346471643882,6415.6170045234185,12595.535060155264,11818.918243699594,4824.820683289288,8890.995573465054,8025.446360780796,12740.253379758376,10540.244131552716,5155.591429158474,3895.4521274564627,8567.83564054758,10008.850162393195,10378.716835356068,12243.563339364773,6963.911037849852,7334.521550828585,12601.424400765565,12799.445093461092,12204.928162090233
