,topology_ad_dysplasia_1_clean_no_tumorales.csv,topology_carcinoma_19_clean_no_tumorales.csv,topology_dysplasia_19_clean_no_tumorales.csv,topology_carcinoma_11_clean_no_tumorales.csv,topology_ad_carcinoma_4_clean_no_tumorales.csv,topology_dysplasia_5_clean_no_tumorales.csv,topology_carcinoma_20_clean_no_tumorales.csv,topology_ad_carcinoma_14_clean_no_tumorales.csv,topology_ad_carcinoma_3_clean_no_tumorales.csv,topology_carcinoma_14_clean_no_tumorales.csv,topology_dysplasia_18_clean_no_tumorales.csv,topology_ad_dysplasia_2_clean_no_tumorales.csv,topology_ad_carcinoma_11_clean_no_tumorales.csv,topology_carcinoma_3_clean_no_tumorales.csv,topology_ad_dysplasia_4_clean_no_tumorales.csv,topology_ad_carcinoma_9_clean_no_tumorales.csv,topology_ad_dysplasia_3_clean_no_tumorales.csv,topology_carcinoma_16_clean_no_tumorales.csv,topology_ad_carcinoma_12_clean_no_tumorales.csv,topology_dysplasia_8_clean_no_tumorales.csv,topology_dysplasia_16_clean_no_tumorales.csv,topology_carcinoma_12_clean_no_tumorales.csv,topology_ad_carcinoma_10_clean_no_tumorales.csv,topology_ad_dysplasia_7_clean_no_tumorales.csv,topology_ad_carcinoma_8_clean_no_tumorales.csv,topology_carcinoma_15_clean_no_tumorales.csv,topology_ad_carcinoma_7_clean_no_tumorales.csv,topology_carcinoma_4_clean_no_tumorales.csv,topology_dysplasia_1_clean_no_tumorales.csv,topology_carcinoma_6_clean_no_tumorales.csv,topology_ad_carcinoma_15_clean_no_tumorales.csv,topology_carcinoma_8_clean_no_tumorales.csv,topology_dysplasia_11_clean_no_tumorales.csv,topology_ad_carcinoma_1_clean_no_tumorales.csv,topology_dysplasia_14_clean_no_tumorales.csv,topology_ad_carcinoma_13_clean_no_tumorales.csv,topology_ad_carcinoma_6_clean_no_tumorales.csv,topology_dysplasia_3_clean_no_tumorales.csv,topology_ad_dysplasia_8_clean_no_tumorales.csv,topology_dysplasia_13_clean_no_tumorales.csv,topology_carcinoma_9_clean_no_tumorales.csv,topology_carcinoma_10_clean_no_tumorales.csv,topology_dysplasia_7_clean_no_tumorales.csv,topology_dysplasia_6_clean_no_tumorales.csv,topology_dysplasia_15_clean_no_tumorales.csv,topology_ad_dysplasia_9_clean_no_tumorales.csv,topology_dysplasia_10_clean_no_tumorales.csv,topology_carcinoma_13_clean_no_tumorales.csv,topology_carcinoma_1_clean_no_tumorales.csv,topology_ad_carcinoma_5_clean_no_tumorales.csv,topology_ad_carcinoma_2_clean_no_tumorales.csv,topology_dysplasia_9_clean_no_tumorales.csv,topology_carcinoma_17_clean_no_tumorales.csv,topology_dysplasia_12_clean_no_tumorales.csv,topology_ad_dysplasia_10_clean_no_tumorales.csv,topology_dysplasia_4_clean_no_tumorales.csv,topology_carcinoma_5_clean_no_tumorales.csv,topology_carcinoma_2_clean_no_tumorales.csv,topology_ad_dysplasia_6_clean_no_tumorales.csv,topology_carcinoma_7_clean_no_tumorales.csv,topology_carcinoma_18_clean_no_tumorales.csv,topology_ad_dysplasia_5_clean_no_tumorales.csv,topology_dysplasia_2_clean_no_tumorales.csv
topology_ad_dysplasia_1_clean_no_tumorales.csv,0.00E+00,132.9625014,72.90503284,96.83420201,28.72672755,69.07290537,139.0785095,68.87875774,39.71284812,48.50614592,50.39184188,37.44458966,32.1810458,98.30685554,46.28992142,34.17385175,37.44458966,90.15619447,41.63141676,229.5949204,50.39184188,86.25061084,25.43934054,94.58740729,35.39154441,132.3143253,39.65804794,104.5451955,116.85414,112.3892938,65.94457856,60.26924053,74.76301457,37.44458966,48.98469368,40.06586156,37.44458966,80.42099,40.138211,101.3881407,84.68996692,70.5774839,48.89950041,103.964295,50.39184188,37.44458966,63.71660644,81.79410144,115.9176484,21.95594017,37.44458966,91.87133764,97.45496456,74.94484855,37.38770768,89.62638917,115.3970015,92.18752329,35.38317161,80.64696588,137.6194359,37.44458966,107.8171999
topology_carcinoma_19_clean_no_tumorales.csv,132.9625014,0.00E+00,132.9625014,132.9625014,132.9625014,94.28373731,79.12336707,132.9625014,132.9625014,132.9625014,132.9625014,132.9625014,132.9625014,66.40583121,132.9625014,132.9625014,132.9625014,106.5568316,132.9625014,229.5949204,115.8543955,132.9625014,132.9625014,87.89311425,132.9625014,85.26408795,132.9625014,80.92368101,79.2202517,67.67121372,132.9625014,132.9625014,132.9625014,132.9625014,132.9625014,132.9625014,132.9625014,110.1135704,132.9625014,105.5915116,132.9625014,79.85320151,132.9625014,132.9625014,132.9625014,132.9625014,108.2862912,132.9625014,99.92251624,132.9625014,132.9625014,132.9625014,91.55784367,124.8559064,132.9625014,96.7510576,100.5786553,85.26408795,132.9625014,132.9625014,85.26408795,132.9625014,108.9443868
topology_dysplasia_19_clean_no_tumorales.csv,72.90503284,132.9625014,0.00E+00,96.83420201,72.90503284,72.90503284,139.0785095,72.90503284,73.12583068,72.90503284,72.90503284,72.90503284,72.90503284,98.30685554,72.90503284,72.90503284,72.90503284,90.15619447,72.90503284,177.3413544,72.90503284,86.25061084,72.90503284,94.58740729,72.90503284,132.3143253,72.90503284,104.5451955,116.85414,112.3892938,82.61539927,72.90503284,74.76301457,72.90503284,72.90503284,73.12617614,72.90503284,80.42099,72.90503284,101.3881407,84.68996692,72.90503284,72.90503284,103.964295,72.90503284,72.90503284,72.90503284,81.79410144,115.9176484,72.90503284,72.90503284,72.90503284,97.45496456,55.55768754,72.90503284,89.62638917,115.3970015,92.18752329,72.90503284,80.64696588,137.6194359,72.90503284,107.8171999
topology_carcinoma_11_clean_no_tumorales.csv,96.83420201,132.9625014,96.83420201,0.00E+00,96.83420201,96.83420201,116.659558,72.24824977,96.83420201,96.83420201,96.83420201,96.83420201,96.83420201,96.71085099,96.83420201,96.83420201,96.83420201,90.15619447,96.83420201,229.5949204,96.83420201,41.38282509,96.83420201,72.24824977,96.83420201,105.0026551,96.83420201,104.5451955,65.75822493,96.04185576,96.83420201,65.0537595,54.86657718,96.83420201,80.81148128,96.83420201,96.83420201,63.34799689,96.83420201,101.3881407,38.53004447,70.5774839,96.83420201,103.964295,96.83420201,96.83420201,96.83420201,44.88951999,48.75858296,96.83420201,96.83420201,96.83420201,64.71451837,96.83420201,96.83420201,89.2427197,58.68977643,92.18752329,96.83420201,27.76630601,100.0697236,96.83420201,47.15143218
topology_ad_carcinoma_4_clean_no_tumorales.csv,28.72672755,132.9625014,72.90503284,96.83420201,0.00E+00,69.07290537,139.0785095,68.87875774,46.25828653,53.56841577,40.15111796,29.61992868,17.57239318,98.30685554,39.27018233,18.14091717,33.61724035,90.15619447,19.32453893,229.5949204,40.64657934,86.25061084,35.64838489,94.58740729,24.76814569,132.3143253,40.15111796,104.5451955,116.85414,112.3892938,80.55323118,60.26924053,74.76301457,40.15111796,40.15111796,45.90596402,37.10315326,80.42099,29.19143706,101.3881407,84.68996692,70.5774839,32.57000835,103.964295,40.15111796,40.15111796,63.71660644,81.79410144,115.9176484,33.9188762,24.17141305,91.87133764,97.45496456,74.94484855,22.724021,89.62638917,115.3970015,92.18752329,15.3614624,80.64696588,137.6194359,20.77449967,107.8171999
topology_dysplasia_5_clean_no_tumorales.csv,69.07290537,94.28373731,72.90503284,96.83420201,69.07290537,0.00E+00,100.4364569,69.07290537,69.81314745,69.07290537,69.07290537,69.07290537,69.07290537,82.62779286,69.07290537,69.07290537,69.07290537,86.97637146,69.07290537,229.5949204,49.01156219,86.25061084,69.07290537,75.37178151,69.07290537,100.4476542,69.07290537,97.39856219,106.8890509,95.5288619,69.07290537,69.07290537,74.76301457,69.07290537,69.07290537,69.46082494,69.07290537,69.25940308,69.07290537,101.3881407,84.68996692,59.71197231,69.07290537,103.964295,69.07290537,69.07290537,63.71660644,81.79410144,111.5578828,69.07290537,69.07290537,91.87133764,84.77162548,74.94484855,69.07290537,89.2427197,115.3970015,84.27530663,69.07290537,80.64696588,114.1081441,69.07290537,107.8171999
topology_carcinoma_20_clean_no_tumorales.csv,139.0785095,79.12336707,139.0785095,116.659558,139.0785095,100.4364569,0.00E+00,139.0785095,139.0785095,139.0785095,139.0785095,139.0785095,139.0785095,63.95702224,139.0785095,139.0785095,139.0785095,90.15619447,139.0785095,229.5949204,129.8066682,139.0785095,139.0785095,80.27246897,139.0785095,41.42661682,139.0785095,75.29020598,50.90133302,72.30074024,139.0785095,139.0785095,139.0785095,139.0785095,111.8704499,139.0785095,139.0785095,86.13798508,139.0785095,139.0785095,139.0785095,78.71136557,139.0785095,139.0785095,139.0785095,139.0785095,127.7833374,139.0785095,75.94693092,139.0785095,139.0785095,139.0785095,67.58225836,139.0785095,139.0785095,89.2427197,76.60306994,60.81059308,139.0785095,122.1422424,43.30072032,139.0785095,108.3172364
topology_ad_carcinoma_14_clean_no_tumorales.csv,68.87875774,132.9625014,72.90503284,72.24824977,68.87875774,69.07290537,139.0785095,0.00E+00,68.87875774,68.87875774,68.87875774,68.87875774,68.87875774,98.30685554,68.87875774,68.87875774,68.87875774,90.15619447,68.87875774,229.5949204,68.87875774,73.38465737,68.87875774,94.58740729,68.87875774,132.3143253,68.87875774,104.5451955,115.6066204,112.3892938,68.87875774,55.0399176,55.96239983,68.87875774,60.77863303,68.87875774,68.87875774,80.3699683,68.87875774,101.3881407,71.96324014,70.5774839,68.87875774,103.964295,68.87875774,68.87875774,63.71660644,58.72829233,90.56102246,68.87875774,68.87875774,91.87133764,97.45496456,74.94484855,68.87875774,89.62638917,112.8144061,92.18752329,68.87875774,78.781946,137.6194359,68.87875774,91.23849098
topology_ad_carcinoma_3_clean_no_tumorales.csv,39.71284812,132.9625014,73.12583068,96.83420201,46.25828653,69.81314745,139.0785095,68.87875774,0.00E+00,48.50614592,73.12583068,70.20587508,63.8306797,98.30685554,73.12583068,45.37608629,73.12583068,90.15619447,53.7633304,229.5949204,73.12583068,86.25061084,33.64147559,94.58740729,63.22646609,132.3143253,73.12583068,104.5451955,116.85414,112.3892938,34.5814498,60.26924053,74.76301457,73.12583068,73.12583068,27.08909965,73.12583068,80.42099,70.58623101,101.3881407,84.68996692,70.5774839,70.48107324,103.964295,73.12583068,73.12583068,73.12583068,81.79410144,115.9176484,40.8738702,70.42969957,91.87133764,97.45496456,74.94484855,68.98230753,89.62638917,115.3970015,92.18752329,55.02025127,80.64696588,137.6194359,53.88171603,107.8171999
topology_carcinoma_14_clean_no_tumorales.csv,48.50614592,132.9625014,72.90503284,96.83420201,53.56841577,69.07290537,139.0785095,68.87875774,48.50614592,0.00E+00,54.87550637,54.87550637,54.87550637,98.30685554,54.87550637,53.30211275,54.87550637,90.15619447,54.87550637,229.5949204,54.87550637,86.25061084,54.87550637,94.58740729,54.87550637,132.3143253,54.87550637,104.5451955,116.85414,112.3892938,48.50614592,44.15872578,74.76301457,54.87550637,54.87550637,48.50614592,54.87550637,80.42099,54.87550637,101.3881407,84.68996692,70.5774839,53.30211275,103.964295,54.87550637,54.87550637,63.71660644,81.79410144,115.9176484,44.54313011,54.87550637,91.87133764,97.45496456,74.94484855,54.87550637,89.62638917,115.3970015,92.18752329,54.87550637,80.64696588,137.6194359,54.87550637,107.8171999
