,stroma_ad_carcinoma_FA_HN14_2_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN15_3_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN14_2_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN14_4_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN11A_1_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN15_2_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN15_1_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN11A_3_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN15_1_mieloides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN14_1_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN15_2_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN11A_4_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN11A_2_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN11A_3_mieloides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN14_4_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN14_1_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN14_2_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN11A_4_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN11A_2_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN14_3_mieloides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN14_2_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN11A_5_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN15_4_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN11A_1_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN14_1_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN14_4_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN14_1_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN11A_5_mieloides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN14_3_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN14_5_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_mieloides_notumorales_tumorales.csv,carcinoma_FA_HN15_2_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN14_3_mieloides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN15_3_mieloides_notumorales_tumorales.csv,dysplasia_FA_HN15_5_mieloides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN15_2_mieloides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN15_3_mieloides_notumorales_tumorales.csv
stroma_ad_carcinoma_FA_HN14_2_mieloides_notumorales_tumorales.csv,0.0,1575.8002981263894,992.4859727654873,1236.5825652182082,922.1880250675031,1184.9864577556525,944.2763608724931,963.6817044082543,1134.5837518851042,797.753078079433,1317.811830286581,949.6419939531928,853.0160344973439,1037.5224677878787,909.1160525701259,1091.06686866734,1395.268548793682,921.8255928207473,983.2669312898058,1693.8754305930051,714.528153148713,806.6714836720225,1245.134009467247,844.5227489778489,726.561633955666,991.4409000655859,745.9763691951598,575.2917668168693,790.6080528698326,1844.3347755493735,620.9707870476689,709.2784412446299,1270.7134647511364,594.1314444563769,1462.91067201894,1093.4063013366747,935.3492969640618,1064.8865645597868
dysplasia_FA_HN15_3_mieloides_notumorales_tumorales.csv,1575.8002981263894,0.0,1793.663250674787,2217.9868278824733,1733.6380716324518,1068.9771501717737,1423.0275608601953,1523.0532064548383,1273.1309755433172,1377.095770355778,1452.720837625576,1882.2612929175684,1983.5140986371941,1749.9229446867412,1662.8805159886504,1598.0202690512058,1835.335807271876,1742.0448603713487,1593.6465425265148,2893.5584430098693,1433.6962141583856,1660.9847864349736,2579.122788269429,1657.534697237216,1799.4172195622257,1895.1807714655283,1614.4935820888663,1603.0019417719477,1689.1209024164432,1987.516357828133,1579.7886016848934,1644.791614109168,1525.6681160631033,1375.6666951117172,1545.8784118399346,1582.4124350898283,1219.6930195218565,1479.4699440823888
dysplasia_FA_HN14_2_mieloides_notumorales_tumorales.csv,992.4859727654873,1793.663250674787,0.0,1068.5732219322774,952.8998840033307,1274.4571141877195,1047.3467121863246,1173.7876752786221,1536.004806625534,1174.3233263598086,1848.9053934662847,826.3205379739746,837.5200817104414,1043.8132570844205,1269.0595888702017,925.0977928256196,1376.0399546044232,1027.56707777488,973.4543334217965,1567.4541014255772,1076.9005926974492,907.1494634890144,1134.6188886181674,1001.0844120315834,1438.0405600679417,965.5866950728122,850.9343420783993,1160.0600853431874,1269.1920587331663,2331.959598237448,887.1637799312816,1013.3542555948844,1592.3180424664358,1018.9011007134837,1940.1244571843213,1020.2204706333505,1168.2145397545632,1470.0958362989056
carcinoma_FA_HN14_4_mieloides_notumorales_tumorales.csv,1236.5825652182082,2217.9868278824733,1068.5732219322774,0.0,1023.9826481009052,1696.6048090634822,1479.3590063725355,1250.702948073006,1916.2453511990193,1476.7045836863763,2113.3017009814694,833.6141325184021,717.6722271205076,1108.2914697047715,1334.965382518147,1441.961782095628,1120.8822717694393,1100.7713736174355,1155.8674417322936,1048.9080614465634,1435.7470614875672,1097.755286435072,892.895857342245,1053.941696226112,1437.070850146168,824.7217055347984,1136.738213220742,1148.503722154762,1372.240435199746,2610.653280672618,1087.4245830253635,1018.5852561708931,1883.981649588931,1281.122219072893,2231.4200269442567,1126.893205974873,1591.6543729918853,1688.2909867310864
carcinoma_FA_HN11A_1_mieloides_notumorales_tumorales.csv,922.1880250675031,1733.6380716324518,952.8998840033307,1023.9826481009052,0.0,1289.9616030112995,1202.4964899844617,904.2662488619603,1280.6125089491757,968.4038719533481,1457.843227658904,720.6547851131636,759.0224618138112,941.0890453300607,921.3201375784249,1274.1953530672456,1316.4119409987325,899.1509410734759,791.8897284228531,1551.0357763022027,848.0086417996417,906.9649620879238,1226.610705432982,908.8478166936102,1137.9271098928373,685.8496347188765,733.0304461489819,960.206216891971,898.4142975789666,1948.618867688669,716.0191692730139,820.6229533171263,1322.7432993439568,833.183655450044,1568.6494890244828,976.7338230606983,1103.613025439128,1112.796125513313
dysplasia_FA_HN15_2_mieloides_notumorales_tumorales.csv,1184.9864577556525,1068.9771501717737,1274.4571141877195,1696.6048090634822,1289.9616030112995,0.0,1064.011148260921,1122.2565374011685,1281.161555831723,1052.7521142850078,1539.5281127323747,1303.0677965428322,1448.5307777522025,1356.8284486722605,1391.6755604691023,1099.5605269287435,1425.5810561160533,1312.1977470017666,1260.438544702749,2406.6249444757173,1135.0328270005707,1231.5508225564422,2038.5217585512364,1250.0518897295751,1567.5871353485927,1330.6911807406866,1184.5692199740583,1363.0627648410855,1405.567145239791,2113.520201351565,1053.4681768681432,1271.2869186755613,1437.5852335883978,1055.4516291404834,1608.8533853651252,1013.9478702327232,838.2358916356167,1377.1780086585904
stroma_ad_carcinoma_FA_HN15_1_mieloides_notumorales_tumorales.csv,944.2763608724931,1423.0275608601953,1047.3467121863246,1479.3590063725355,1202.4964899844617,1064.011148260921,0.0,1066.6261996903133,1229.8052659853106,917.7802457514506,1516.9980917353578,1143.0779635736417,1164.504020756042,1111.9688801244329,1147.9938938800894,1077.2812685269753,1365.83159212222,1053.137389524177,999.6505260997644,2097.168930143692,1014.8445821515616,910.8746232940894,1684.3479452013053,935.9941146132827,1243.0001349109466,1217.485501409525,936.6708728344265,1044.301105958886,1174.9501357615059,1959.5018702251193,917.6758277282034,973.6399453504469,1207.323955249795,877.896637972614,1632.367118412365,1120.8701838935708,919.4031189170076,1125.9525736655637
dysplasia_FA_HN11A_3_mieloides_notumorales_tumorales.csv,963.6817044082543,1523.0532064548383,1173.7876752786221,1250.702948073006,904.2662488619603,1122.2565374011685,1066.6261996903133,0.0,1178.5533498411103,944.4148007401627,1293.3069199277793,913.8278350321739,1023.8457602413562,1006.9582274550605,1027.8932571150967,1235.3571101678735,1086.676384849365,904.8282993595035,938.7172860545907,1902.8696099152878,982.7739977036551,905.9085433557839,1519.062954524285,832.8923626916492,1173.5072170739688,949.0015071552684,959.8107196394501,984.9062855951111,1051.5505307163835,1829.9299125669459,778.0019326063803,883.693939580826,1090.1229651520189,796.6625912781597,1482.059193436671,960.5015382863535,1025.244860895631,1041.9373011256107
carcinoma_FA_HN15_1_mieloides_notumorales_tumorales.csv,1134.5837518851042,1273.1309755433172,1536.004806625534,1916.2453511990193,1280.6125089491757,1281.161555831723,1229.8052659853106,1178.5533498411103,0.0,974.7543223005372,933.2683310362754,1458.64417790428,1539.5558709248314,1410.659312638952,1079.0094202101807,1728.4682512600803,1764.3469193184424,1398.9252398272045,1192.414243597536,2460.842345651275,966.7537387177782,1416.2751829512001,2065.2034516835765,1337.4403086416967,1212.5149726374702,1471.202481589084,1298.2689444614534,1151.3496406221702,1136.3868087291667,1360.4143197867675,1195.3151061404078,1271.576273952157,1111.0994791601377,955.4563652179884,1002.5027962527613,1531.982614886543,1146.2050954015626,967.6272593550732
stroma_ad_dysplasia_FA_HN14_1_mieloides_notumorales_tumorales.csv,797.753078079433,1377.095770355778,1174.3233263598086,1476.7045836863763,968.4038719533481,1052.7521142850078,917.7802457514506,944.4148007401627,974.7543223005372,0.0,1205.816318494252,1073.8786486862598,1118.4309473078306,1070.3219971005335,996.4406630409162,1284.1045573299186,1485.9880460508884,1106.2116486580883,955.7372422763808,2103.7267678902444,767.5845860311935,1015.1162208883505,1680.0601482950628,1031.1680337262242,1087.098049678021,1085.870460860597,889.1794995763419,873.0793340592277,933.6231800221638,1670.4592090230144,805.7464792270698,916.8376846540859,1100.1835617236409,728.3824950240711,1258.8692067360607,1136.3041781308693,842.4795882087847,951.3151156712278
