,stroma_ad_dysplasia_FA_HN15_2_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN15_2_linfoides_tumorales.csv,dysplasia_FA_HN11A_4_linfoides_tumorales.csv,stroma_ad_dysplasia_FA_HN14_3_linfoides_tumorales.csv,stroma_ad_dysplasia_FA_HN14_1_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN15_3_linfoides_tumorales.csv,dysplasia_FA_HN11A_3_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_linfoides_tumorales.csv,carcinoma_FA_HN11A_1_linfoides_tumorales.csv,carcinoma_FA_HN11A_3_linfoides_tumorales.csv,carcinoma_FA_HN14_1_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_1_linfoides_tumorales.csv,dysplasia_FA_HN14_1_linfoides_tumorales.csv,carcinoma_FA_HN11A_4_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_linfoides_tumorales.csv,dysplasia_FA_HN14_2_linfoides_tumorales.csv,dysplasia_FA_HN15_1_linfoides_tumorales.csv,carcinoma_FA_HN15_2_linfoides_tumorales.csv,dysplasia_FA_HN15_2_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_5_linfoides_tumorales.csv,stroma_ad_dysplasia_FA_HN15_3_linfoides_tumorales.csv,dysplasia_FA_HN15_3_linfoides_tumorales.csv,carcinoma_FA_HN15_1_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_4_linfoides_tumorales.csv,dysplasia_FA_HN11A_2_linfoides_tumorales.csv,carcinoma_FA_HN11A_2_linfoides_tumorales.csv,dysplasia_FA_HN11A_5_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN15_1_linfoides_tumorales.csv,stroma_ad_dysplasia_FA_HN14_4_linfoides_tumorales.csv,carcinoma_FA_HN14_2_linfoides_tumorales.csv,stroma_ad_dysplasia_FA_HN14_2_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_3_linfoides_tumorales.csv,dysplasia_FA_HN11A_1_linfoides_tumorales.csv,carcinoma_FA_HN11A_5_linfoides_tumorales.csv,carcinoma_FA_HN14_3_linfoides_tumorales.csv,carcinoma_FA_HN14_4_linfoides_tumorales.csv,dysplasia_FA_HN15_5_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN14_2_linfoides_tumorales.csv,stroma_ad_carcinoma_FA_HN15_4_linfoides_tumorales.csv
stroma_ad_dysplasia_FA_HN15_2_linfoides_tumorales.csv,0.0,1526.8775853163904,6316.840660183496,2081.734833711146,3948.9821648354373,2539.8706219059713,3652.995182104659,1944.2016884350123,7343.237192587544,7614.092107322833,10181.687420086004,6323.530894657928,11845.659532323367,6241.640778656736,2355.617700775183,10118.817198201361,4826.12782478161,7198.890392398485,8756.807508318496,2712.8096871364496,1189.5840146827672,12763.799382193236,5802.058460592676,1855.9148877299708,1497.7412582988827,7783.189682563148,1721.5828992222048,1378.9086383276629,1288.4006339917469,12101.038978079245,2334.132198412839,4529.5180192845555,8892.52731048478,8278.344227871046,12536.658749340253,11756.99710023411,4362.129045940502,5044.29306170562,1851.472931405047
stroma_ad_carcinoma_FA_HN15_2_linfoides_tumorales.csv,1526.8775853163904,0.0,6565.549598655047,1651.6822285721912,4173.113155842422,2585.3135716909455,3251.4985673722213,1920.4726243024656,7692.381411600826,7840.377528729571,10562.355172190553,6625.821852261765,11970.327757186891,6542.566542701425,3356.534192944978,10167.910471325384,4972.702594553428,7428.839641995346,9039.938130307406,2936.841844723593,1058.879881375844,12924.372658529874,6003.151973544742,2387.4326347221627,2117.988533506401,7851.375484361869,1752.4987507493456,1852.7709595562887,1595.9104302987473,12412.74249918192,2575.8371908179233,4414.76825369103,9048.330711723935,8290.896690387228,12959.796333180147,12151.975357016081,4547.398742846587,5281.693052485108,2018.090528952952
dysplasia_FA_HN11A_4_linfoides_tumorales.csv,6316.840660183496,6565.549598655047,0.0,5895.361222107473,3096.053153496618,4170.244679784261,4586.137418775809,5297.803001840397,2915.0015078933984,2561.9001441028895,5361.463672383297,3562.3183233302316,6255.001274141714,3048.1451680830064,5805.847893314855,4900.380682683505,3535.340345453457,1462.463130895816,2770.7039488334512,4339.673436539649,6479.3675477984,7182.069231836807,2585.5899883597117,5192.51530850881,4951.353861243017,2035.5245451333078,4963.777312052832,5499.624156313641,5508.098884954289,6310.539561581538,4977.904716819926,3944.625955434985,5007.962083803363,2910.8511836390157,8203.37085895136,6897.199854410281,2865.3095008370647,3408.5838616890114,5057.3636043608785
stroma_ad_dysplasia_FA_HN14_3_linfoides_tumorales.csv,2081.734833711146,1651.6822285721912,5895.361222107473,0.0,3211.315559833147,2152.2506059997986,3724.0490533981997,2060.6048155118515,7342.154783851663,7608.553403606364,10147.483194436167,6368.512360096548,11683.161280404005,6280.926884630939,3920.5450406643986,9978.146883684603,4513.323849397106,6856.207692770072,8502.481775017128,2678.7135090524635,1477.6391123937449,11953.557315326665,5716.917095394251,2420.511731940808,2333.276854188655,7547.612157939629,1829.3903024815108,1581.1516510154959,1908.4573622152154,11921.068329743433,2670.8307737721534,4495.012988332165,8992.53735888972,8226.90911476012,12467.13093610066,11669.51975993707,3962.5763430924726,5048.475880542529,2101.9325740528216
stroma_ad_dysplasia_FA_HN14_1_linfoides_tumorales.csv,3948.9821648354373,4173.113155842422,3096.053153496618,3211.315559833147,0.0,1949.526750445938,3704.3083475832173,2850.8416107052544,4468.105317749503,4567.618627088234,7268.604019074908,3643.8372905041188,8766.635568469388,3365.7084911772076,3641.8986684952583,7415.74189650013,2660.5126905632646,3911.54093843967,5381.471796311354,1839.9168641153528,3908.9477024862776,9658.621443144091,3189.7809737268635,2818.630665663269,2569.2316469895677,4778.694870278839,2688.0158801911466,2970.2963281722537,3092.241699470604,8885.09382693217,2550.7675430348613,2331.480650663842,6266.010917792788,5380.244221632134,9636.565665894137,8729.980134339567,1901.4155629908837,2259.6607945061173,2652.7472353214625
stroma_ad_carcinoma_FA_HN15_3_linfoides_tumorales.csv,2539.8706219059713,2585.3135716909455,4170.244679784261,2152.2506059997986,1949.526750445938,0.0,2321.2491336046655,2196.1626759214996,5638.290945006293,5765.685477742138,8445.04646909235,4851.987003309274,9806.924595771057,4537.588606729268,3869.5230875857997,8092.481032734506,2977.135213104881,5086.320901193717,6709.442875920079,2139.9791303752577,2689.2554773347956,10469.327100519902,3838.5688658343465,2421.684652592702,2318.9747394006617,5593.819557069384,1494.870333359338,2071.44847266179,1997.822930703838,10106.553804920857,2667.5524974991613,2799.8352316908895,7335.600011470318,6260.627715050542,10964.182794830705,10045.982024645786,2272.202616923232,3366.236795190837,2125.9037918500653
dysplasia_FA_HN11A_3_linfoides_tumorales.csv,3652.995182104659,3251.4985673722213,4586.137418775809,3724.0490533981997,3704.3083475832173,2321.2491336046655,0.0,3214.980516350439,6633.162538774001,6402.1309186156395,9401.379731837667,6330.15482499805,8994.041140301164,5689.388947213057,5146.268957146084,7148.692620009227,2495.044702725317,5157.593613143699,6530.144081300621,3640.0135673117925,3825.401217647428,9879.441973188981,3093.3359508078534,3960.3125357506287,3759.2749141881877,5781.322910693351,2406.938073148013,3558.1443493764127,3221.3055559720374,10477.059583306354,4027.9451209483627,2681.511292225847,8361.374833474409,6515.520451232137,12197.452069183859,11060.16718167553,2442.4707070554823,4824.050595056267,3285.311194199581
stroma_ad_carcinoma_FA_HN11A_2_linfoides_tumorales.csv,1944.2016884350123,1920.4726243024656,5297.803001840397,2060.6048155118515,2850.8416107052544,2196.1626759214996,3214.980516350439,0.0,6051.34710983042,6055.295268059982,9010.106537784555,5066.832132941521,10277.217627862305,4865.217641541123,2263.274490840337,8531.845237804539,3516.9192625223804,5875.060310933583,7343.877246539376,1363.0599861652424,2339.9831939625556,11891.547202684409,4366.4066845693615,1109.3395168872084,1399.0240230704449,6591.239536848513,1260.7063256678973,1660.359557765402,1102.8819726765028,10913.121738507833,1231.4702891052107,2616.982867573729,7327.845897972918,6683.431147479876,11445.765468587539,10581.478704362666,3226.176637957438,3608.1794828081665,628.6264297997756
carcinoma_FA_HN11A_1_linfoides_tumorales.csv,7343.237192587544,7692.381411600826,2915.0015078933984,7342.154783851663,4468.105317749503,5638.290945006293,6633.162538774001,6051.34710983042,0.0,1125.1136129791946,3287.204933311382,2020.6069664483941,5866.854048713599,2283.43805516057,5712.4430500597055,4791.4501581400145,5172.724188967005,2795.5925052963676,2938.699861683806,4865.712898488161,7741.708839294193,8420.893100284597,4043.176192118297,5725.180367895689,6074.941823339345,2565.950431023002,6305.054261956304,6843.437677133708,6587.87865993129,5276.211576120147,5385.1636634467895,4786.698082928854,2413.506662552783,2492.5244145067054,5878.494138988344,4616.411339812378,4784.536737030166,3017.2288902320815,6003.003139055078
carcinoma_FA_HN11A_3_linfoides_tumorales.csv,7614.092107322833,7840.377528729571,2561.9001441028895,7608.553403606364,4567.618627088234,5765.685477742138,6402.1309186156395,6055.295268059982,1125.1136129791946,0.0,3825.2507474688114,2388.5958740628867,5703.369566887278,2568.582976782133,5941.05935675913,4796.090858555558,5016.065029335167,2423.972676403684,2475.224720115427,5017.3758385211595,8067.709328446425,8096.813768187879,3813.856393224414,6051.050261743835,6276.521728931265,2289.70401890715,6313.368843917104,7088.171675707231,6729.469036032676,5377.271602498518,5558.875953660334,4444.995253554499,2940.021509028321,2325.3454343011767,6491.399135765611,4987.525210885582,4680.709972016979,3043.774045267926,6006.090679063479
