,carcinoma_FA_HN15_1_mieloides.csv,dysplasia_FA_HN11A_4_mieloides.csv,stroma_ad_carcinoma_FA_HN14_1_mieloides.csv,dysplasia_FA_HN15_1_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_3_mieloides.csv,stroma_ad_carcinoma_FA_HN15_2_mieloides.csv,carcinoma_FA_HN14_4_mieloides.csv,stroma_ad_carcinoma_FA_HN11A_2_mieloides.csv,carcinoma_FA_HN11A_5_mieloides.csv,dysplasia_FA_HN11A_2_mieloides.csv,stroma_ad_dysplasia_FA_HN15_1_mieloides.csv,stroma_ad_carcinoma_FA_HN14_4_mieloides.csv,stroma_ad_dysplasia_FA_HN14_1_mieloides.csv,carcinoma_FA_HN11A_1_mieloides.csv,stroma_ad_carcinoma_FA_HN14_2_mieloides.csv,carcinoma_FA_HN14_2_mieloides.csv,carcinoma_FA_HN11A_3_mieloides.csv,dysplasia_FA_HN15_5_mieloides.csv,stroma_ad_carcinoma_FA_HN15_1_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_1_mieloides.csv,stroma_ad_dysplasia_FA_HN15_3_mieloides.csv,dysplasia_FA_HN15_2_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_2_mieloides.csv,stroma_ad_dysplasia_FA_HN14_3_mieloides.csv,stroma_ad_dysplasia_FA_HN15_4_mieloides.csv,stroma_ad_carcinoma_FA_HN11A_1_mieloides.csv,dysplasia_FA_HN11A_1_mieloides.csv,carcinoma_FA_HN15_2_mieloides.csv,stroma_ad_dysplasia_FA_HN14_2_mieloides.csv,stroma_ad_carcinoma_FA_HN14_5_mieloides.csv,stroma_ad_dysplasia_FA_HN14_4_mieloides.csv,dysplasia_FA_HN14_2_mieloides.csv,dysplasia_FA_HN15_3_mieloides.csv,stroma_ad_carcinoma_FA_HN15_3_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_4_mieloides.csv,dysplasia_FA_HN14_1_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_5_mieloides.csv,carcinoma_FA_HN11A_4_mieloides.csv,stroma_ad_dysplasia_FA_HN15_2_mieloides.csv,dysplasia_FA_HN11A_3_mieloides.csv,carcinoma_FA_HN14_3_mieloides.csv,dysplasia_FA_HN11A_5_mieloides.csv,stroma_ad_carcinoma_FA_HN15_4_mieloides.csv,stroma_ad_carcinoma_FA_HN14_3_mieloides.csv,carcinoma_FA_HN14_1_mieloides.csv,carcinoma_FA_HN11A_2_mieloides.csv,stroma_ad_dysplasia_FA_HN15_5_mieloides.csv
carcinoma_FA_HN15_1_mieloides.csv,0.0,1935.2922981211518,3193.4904333109785,4104.259743985941,3403.389674620563,1713.6076661418479,5317.591527751683,3326.764498501911,2938.5473072383083,4174.83508308512,4224.172372367571,3571.0797311605093,2158.009869216621,2790.7461372982066,3592.2969203312987,5384.171495689633,2169.9489243556136,3711.783870974636,2257.0855025448805,3043.463293105586,3127.5088226711946,956.1306229325614,3545.7902325275622,4492.576480363423,6886.371799895095,6104.726959338058,3923.3671655858893,1934.9839086958912,3567.7664000358645,3406.7260333774557,5013.272090431124,6897.561221555556,6342.706772319164,4455.164957386522,3804.6326476858007,6941.609074202504,5405.545326166928,3704.1635561459534,1555.8578068432923,2605.3747491025915,7503.298273718922,3514.1828502265985,3377.194957664223,3364.5257093804867,4256.698185351593,2695.04523541716,7144.128831560873
dysplasia_FA_HN11A_4_mieloides.csv,1935.2922981211518,0.0,1455.9832192416716,3795.2051074370293,1895.3426897185882,2973.793230670895,4756.38120998994,1817.7843180828647,1945.7398562710066,2752.2136134939215,2610.2812826422355,2381.2658898249656,1013.8008058012198,1253.9424189847769,2076.717197555305,5048.33460816663,1006.1948064333998,3006.6378344977475,2492.4673895801366,1296.356959485377,3396.5368740226695,1806.714197659906,1684.3714922405816,4522.073000502236,5072.285272854477,4466.3297826573735,2838.072191903473,2864.1830350169907,1952.793643167519,2343.3253327102875,3300.3009106915397,5896.456673970883,5962.681294447007,4581.764538798985,2649.876313114989,5979.971372117201,3502.884613022041,2275.4003814426555,867.2705259664083,2681.280161720549,6548.169943419692,3328.682733988087,3026.9351355296453,1508.3904228133906,3672.318034262738,1375.4586189900883,5290.63513633703
stroma_ad_carcinoma_FA_HN14_1_mieloides.csv,3193.4904333109785,1455.9832192416716,0.0,4364.584886004294,735.5575845631638,4009.5041611557685,4909.844388181721,2040.3416881395733,2156.535998466945,2788.017179990624,2138.0670405706246,2149.1859192694296,1093.8209438212318,778.8397976117953,810.5355073807988,5227.429397480851,1644.1440302989122,3450.2288196941363,3497.4923875007717,1136.8979997314982,4073.0696905273994,2915.9079617696907,789.9840062383068,4927.500976465435,3997.5822608692715,3545.1581821117725,2569.1629083701728,3832.0899737897257,1167.8032208399704,1953.8976066937564,2554.993185988113,5136.096597068239,6138.373546135854,4997.631915274898,2031.096342884194,5391.972752750162,2248.7539092245083,2274.9448087287856,1850.7785159768553,3946.2550027552957,5877.938400652943,4014.01647842453,3662.549134033497,520.2757059722176,3904.2338924783485,1327.3123060663384,4149.914630599992
dysplasia_FA_HN15_1_mieloides.csv,4104.259743985941,3795.2051074370293,4364.584886004294,0.0,4812.857126157322,5754.849002245507,8495.260917390886,2768.277616823158,5603.704442419662,2547.3501599742262,3302.454477779955,5849.786404680448,3902.606981670816,4192.535830602003,5018.916679702825,8761.112926268475,3434.7393613081395,1166.609664510797,1919.123650452379,3427.4451143084952,6842.781698975452,4055.4640128316823,4431.6160790042295,8136.421758413638,5573.287668793983,4310.328564819279,6351.965654179434,5867.1117333437405,5089.493717631585,5551.517359130567,6185.081449090995,9283.093356350637,9665.19240490011,8084.6948539550685,5917.454134504523,9482.257601923206,5388.155302820969,2544.6960214579735,4086.0416537207384,1530.758565739273,10032.242279049067,942.8185520553475,1176.6554079067528,4381.342260721944,7396.210577590842,5003.775668360985,6013.165821793092
stroma_ad_dysplasia_FA_HN11A_3_mieloides.csv,3403.389674620563,1895.3426897185882,735.5575845631638,4812.857126157322,0.0,3902.145110593192,4277.3270356023995,2454.5771785991014,1785.8927581111184,3211.652225012969,2752.6176378949067,1513.8638849994902,1306.5651466754616,1377.1585096503347,386.7687698826636,4605.638797862071,2142.8141542091194,3876.0844248440576,3976.324030384054,1554.0772630254123,3650.462293752214,3076.8236275976997,867.6537636029062,4352.323375193786,4294.323826929437,4083.3225195601153,1937.4645025188315,3691.3657248740324,756.6409747671702,1395.578831040034,2164.462027593985,4642.148076408032,5505.4540664292845,4446.500927276633,1413.401780726458,4864.192512445615,2207.0828992478446,2746.4735453248013,1939.1507483585913,4414.814758862051,5395.969432290662,4439.356063783948,4081.1684916468407,682.4114676446947,3289.2015634110185,957.6625209010177,4302.464803228305
stroma_ad_carcinoma_FA_HN15_2_mieloides.csv,1713.6076661418479,2973.793230670895,4009.5041611557685,5754.849002245507,3902.145110593192,0.0,4485.84451704008,4740.425525601839,2592.1994162988117,5674.238161995294,5559.855966660581,3239.6563503904063,2995.672298257449,3843.8915203649153,4042.040842074109,4287.673039800418,3633.341842991338,5377.989368672837,3912.811184194611,4250.679169625721,1948.6204397840188,1803.0656611200961,4174.864655244987,3181.287216171064,7990.468678142979,7421.229675082125,3371.1222334828294,716.1277210812494,3935.284553574975,3041.4110459463473,5310.290830802731,6248.288730620777,5110.645191928624,3148.6471587499423,3362.258080234791,6221.853377832434,6097.658362819962,5179.312718113265,2273.0592388531927,4256.662542453244,6770.072112376608,5171.479106209327,5044.646333078451,4174.657154313155,3463.4504683416976,3014.8060804177076,8132.290447690646
carcinoma_FA_HN14_4_mieloides.csv,5317.591527751683,4756.38120998994,4909.844388181721,8495.260917390886,4277.3270356023995,4485.84451704008,0.0,6458.367340705631,2964.583104204822,7190.303026175314,6980.143140904711,2787.931886450279,4653.316880378983,4864.628474754551,4401.269556698731,1128.9406108533908,5311.715795083405,7742.051830082053,7042.85328185941,5616.677501047557,3335.7901891746274,4875.362747487711,4958.507606553028,2885.990351965842,8476.633069539665,8308.59306069749,2377.292519628472,4134.736282127795,4231.806398551685,2995.96185777856,4555.6931873464855,1960.8776866261887,2270.756359178787,1899.4009456660738,2897.156357360344,2207.535725923692,6261.050374439223,6692.428561672483,4468.246650927109,7190.084115997313,2306.019835369551,7938.555812926608,7755.457951961026,4890.492394012821,1199.8829988409482,3631.5529796933015,8172.551596860609
stroma_ad_carcinoma_FA_HN11A_2_mieloides.csv,3326.764498501911,1817.7843180828647,2040.3416881395733,2768.277616823158,2454.5771785991014,4740.425525601839,6458.367340705631,0.0,3548.4765533322106,1175.7223565220886,922.6839484002874,3735.6383451109955,1946.9569378905724,1949.692299025636,2579.6348266536233,6758.46806669849,1445.0463602614223,1711.8126396303753,2477.931082823584,1024.9448585611638,5124.2835403328645,3268.8088392361183,1837.202484923212,6260.711612012885,3660.380219872439,2801.178761824417,4210.896898845333,4655.933222924409,2557.572646955912,3473.93443665269,3518.926540992998,7031.358065007166,7675.861184968058,6330.162653298653,3692.7666968572307,7244.316510105992,2768.4437389460554,854.8669598744847,2522.341091122561,2565.781349057276,7785.555597971748,2286.1566013752836,1768.4282858200422,1941.0409525068785,5375.5104027197385,2910.9895450663976,3994.571835991662
carcinoma_FA_HN11A_5_mieloides.csv,2938.5473072383083,1945.7398562710066,2156.535998466945,5603.704442419662,1785.8927581111184,2592.1994162988117,2964.583104204822,3548.4765533322106,0.0,4313.809388513601,4105.393654664659,1042.8275566559525,1765.3801081295476,2091.2798693701116,1860.7479315816279,3241.8629877974686,2399.1293833526297,4837.53655475686,4303.287635723989,2735.1891275457183,2160.1870331640475,2319.2879956411057,2173.5390038348187,2931.928077833785,6032.729906374526,5667.7852524802565,1232.712179577071,2139.91492926444,1728.2037915312067,844.8167134913197,3045.4474119111815,4014.2931297062914,4158.8204169019145,2943.2149713170606,1207.6958988807817,4103.997896427107,3965.927337661599,3813.907353963444,1726.1478293381645,4532.292537003293,4635.726163996822,5144.977395989578,4879.979370111812,2163.4355173710333,1956.1942246672622,1072.955582684656,6081.71316980628
dysplasia_FA_HN11A_2_mieloides.csv,4174.83508308512,2752.2136134939215,2788.017179990624,2547.3501599742262,3211.652225012969,5674.238161995294,7190.303026175314,1175.7223565220886,4313.809388513601,0.0,1108.2623669255627,4428.78038912011,2872.148923747871,2558.6493630412533,3360.3053707544495,7497.947459251731,2223.032008216771,1555.7545958446294,2935.7589123041594,1856.563416593915,6041.731150933653,4156.467732113499,2603.3440548859708,7105.538250810737,3238.1879631691936,2114.284238178166,4855.155374155335,5596.01890795112,3190.1210640704207,4214.257554204876,3942.74493363463,7644.265550956938,8418.857570941474,7184.503992314774,4328.011027625514,7846.211683740113,3007.1657721406377,680.1414065180518,3458.6506404122956,2748.0671650295317,8398.322595616253,2212.2357452196975,1654.4872107732376,2708.8782086499705,6162.603584522623,3590.716325795078,3639.3497096849173
