,carcinoma_FA_HN14_3_tumorales.csv,carcinoma_FA_HN15_1_tumorales.csv,carcinoma_FA_HN11A_5_tumorales.csv,stroma_ad_dysplasia_FA_HN14_3_tumorales.csv,stroma_ad_dysplasia_FA_HN14_4_tumorales.csv,carcinoma_FA_HN11A_2_tumorales.csv,dysplasia_FA_HN15_1_tumorales.csv,carcinoma_FA_HN14_2_tumorales.csv,carcinoma_FA_HN11A_4_tumorales.csv,dysplasia_FA_HN15_3_tumorales.csv,stroma_ad_carcinoma_FA_HN15_3_tumorales.csv,dysplasia_FA_HN11A_5_tumorales.csv,stroma_ad_dysplasia_FA_HN14_1_tumorales.csv,carcinoma_FA_HN14_1_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_tumorales.csv,carcinoma_FA_HN15_2_tumorales.csv,dysplasia_FA_HN15_5_tumorales.csv,carcinoma_FA_HN14_4_tumorales.csv,stroma_ad_carcinoma_FA_HN14_4_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_tumorales.csv,stroma_ad_carcinoma_FA_HN15_1_tumorales.csv,stroma_ad_carcinoma_FA_HN15_4_tumorales.csv,stroma_ad_dysplasia_FA_HN15_2_tumorales.csv,dysplasia_FA_HN11A_1_tumorales.csv,stroma_ad_carcinoma_FA_HN15_2_tumorales.csv,dysplasia_FA_HN14_1_tumorales.csv,stroma_ad_carcinoma_FA_HN14_2_tumorales.csv,carcinoma_FA_HN11A_1_tumorales.csv,dysplasia_FA_HN14_2_tumorales.csv,stroma_ad_carcinoma_FA_HN14_5_tumorales.csv,stroma_ad_carcinoma_FA_HN14_3_tumorales.csv,carcinoma_FA_HN11A_3_tumorales.csv,dysplasia_FA_HN15_2_tumorales.csv,stroma_ad_carcinoma_FA_HN14_1_tumorales.csv,dysplasia_FA_HN11A_2_tumorales.csv,stroma_ad_dysplasia_FA_HN15_3_tumorales.csv,dysplasia_FA_HN11A_4_tumorales.csv,stroma_ad_dysplasia_FA_HN14_2_tumorales.csv,dysplasia_FA_HN11A_3_tumorales.csv
carcinoma_FA_HN14_3_tumorales.csv,0.0,1889.0048157690192,1565.9786210819789,1745.7115397674754,1634.254797663218,1569.7742139242866,1833.3836762970998,1422.0023126627193,1394.2784905682872,2527.347310623487,1696.471102734639,1625.5851158499274,1595.9763068781367,1055.563601224777,1522.3258555589503,1767.5203884238206,1811.7421647898695,835.1433006556404,1577.3074092032193,1587.9546688873052,1590.0603335996234,1539.0923160511297,1550.8364506632408,1529.0996428510869,1685.251297597959,1728.74970720266,1535.3720639734247,1491.39981126811,1366.8464247772665,1526.1773946813319,1679.2441097380838,1592.429213115468,1732.3944500768696,1522.3258555589503,1511.6099476013922,1581.713330982161,1458.528250754978,1504.0561988316767,1776.2905174307175
carcinoma_FA_HN15_1_tumorales.csv,1889.0048157690192,0.0,585.7236106808284,665.7623674529207,509.1098332665792,791.2247660301548,472.87550468535846,1642.8955144482156,631.2668708092376,1466.5443691443668,498.5547351004456,598.7416451698941,642.6447818085812,1274.3995036861277,568.9943304893945,685.471600095152,510.1116827401458,1563.3928106561677,623.9758841336637,551.8866925506632,573.6926577278917,550.9928214249092,590.4713975969624,564.0575669019386,494.96318793636317,1485.0627966962581,582.0405389038694,715.166414176168,1418.5966627896532,567.4872157020395,455.19185422565295,644.6138403708152,811.5204036667548,568.9943304893945,568.941652885894,630.2934678504454,751.9027331166687,556.2643904577249,406.0760618651232
carcinoma_FA_HN11A_5_tumorales.csv,1565.9786210819789,585.7236106808284,0.0,590.3069379953297,507.138963488617,664.0380233811013,537.9205617144522,1384.9943923818164,414.8108151806456,1492.6408658545477,419.0042088256828,465.69653569984865,524.8813744375475,968.7341095068533,468.3127329007087,608.1470421799859,517.2657496621201,1236.909857251444,481.17720298465724,494.99574789357047,473.8329602407718,443.75173240071604,496.8233280049996,473.859632126034,477.9614659088411,1273.3548741399168,480.2211685892527,515.2743565050287,1189.2296237599785,468.04360418192744,496.4389087431932,653.946947238569,745.2146611533403,468.3127329007087,457.78536118362223,525.6780704977275,557.2099592519145,453.29772544639474,534.3013371979978
stroma_ad_dysplasia_FA_HN14_3_tumorales.csv,1745.7115397674754,665.7623674529207,590.3069379953297,0.0,334.09399818975567,959.0065794041968,696.7626124001005,1679.2310551955766,677.3507706200797,1760.1414207684845,504.20437737912374,334.50449766064384,278.53838728207376,1329.160104738727,264.1855744493726,876.9741379240747,683.9482372345578,1538.0368389420887,296.9205048674271,296.75779085089215,315.0421671256318,290.1002237568772,244.172448768378,267.42845250424216,352.465067596523,1627.7070144930615,262.39337904702626,870.1012969880567,1559.3616334706458,268.0371135717547,311.59410946217895,922.4732688080245,1042.7702356200577,264.1855744493726,266.79884775809546,306.4640990880815,844.2502458796968,283.45306813124074,461.54409196786594
stroma_ad_dysplasia_FA_HN14_4_tumorales.csv,1634.254797663218,509.1098332665792,507.138963488617,334.09399818975567,0.0,881.2006260027447,579.3262461915389,1614.5488820146568,607.4141524161492,1676.8604593477287,352.4613064659035,212.15736785836503,217.71896055621937,1245.2920088576202,144.06850923703254,817.0575919066248,601.5949597064925,1462.577588905921,199.0500628813018,99.61830972799793,201.5212098692403,153.85553103541207,167.93319335320953,143.66022893649176,260.2429311788486,1538.7235565125295,151.19347024788613,794.3934568879267,1478.022219898749,142.79676581405556,202.43437767684298,795.7745202653305,988.2334532353627,144.06850923703254,152.26680154780448,209.72329128258218,752.8979536451907,169.86928345797529,346.15996079204336
carcinoma_FA_HN11A_2_tumorales.csv,1569.7742139242866,791.2247660301548,664.0380233811013,959.0065794041968,881.2006260027447,0.0,674.0073505664453,1106.581654072741,559.8092233127537,1160.9381215594995,711.4857185602689,867.0761932723567,905.3812594363138,766.6063659028079,831.7308081171268,674.0621508377502,617.1073873187811,1128.5013687743892,886.7123617613962,889.5155827486323,822.8160669099526,813.5014169956838,860.2414032214181,831.0002329481241,884.9219544460645,965.210039218956,844.777016531602,550.1765051343443,876.6648368612333,830.3321342371036,866.4053908506578,550.5815526150791,522.82914658668,831.7308081171268,821.87678651781,890.184316607497,495.3204256837257,809.8707801985308,834.0247109059923
dysplasia_FA_HN15_1_tumorales.csv,1833.3836762970998,472.87550468535846,537.9205617144522,696.7626124001005,579.3262461915389,674.0073505664453,0.0,1590.0216424778982,560.1039115448842,1315.3504980857729,465.4453524999717,586.8954368487467,664.7648210970978,1207.633414766496,591.114369777911,676.0476053968173,449.5587913195063,1514.2792859354433,646.0959234221802,596.6212595252371,567.2373369489724,566.7354571736744,619.624964882202,589.129124106103,547.9855365667963,1416.075959067401,592.995445395299,641.8432753232562,1341.1921191266906,589.6412549199233,543.9668453676468,643.2948431151813,707.4060940362507,591.114369777911,582.5008779603639,653.84242323806,662.6540513612787,571.5313549011197,461.07273426984597
carcinoma_FA_HN14_2_tumorales.csv,1422.0023126627193,1642.8955144482156,1384.9943923818164,1679.2310551955766,1614.5488820146568,1106.581654072741,1590.0216424778982,0.0,1221.62669300969,1604.7157483544001,1472.1538322510653,1599.5983532929192,1598.7964243566798,868.3461977155599,1525.145973037493,1434.013592610213,1482.7280288389659,829.5946702672663,1580.127526681763,1591.5955459352501,1533.8874932329666,1511.2814943798237,1553.6565681417844,1531.9197603296307,1642.2703379217223,944.3289206079869,1538.1921814519685,1281.854283392774,1053.2049441802667,1528.9975121598757,1613.487272034733,1336.8584313739345,1140.8501742281087,1525.145973037493,1514.0392143440772,1584.6767971729735,1167.5787093824786,1508.5047077226313,1656.6799730957134
carcinoma_FA_HN11A_4_tumorales.csv,1394.2784905682872,631.2668708092376,414.8108151806456,677.3507706200797,607.4141524161492,559.8092233127537,560.1039115448842,1221.62669300969,0.0,1403.392672233799,460.95233502812414,584.2267490232546,598.0956891270298,823.1609780613048,524.4452378078431,614.1885410575779,565.4153874569059,1080.090694495052,579.4267914521123,582.3545299121887,551.4209778802592,512.7438417143877,545.4042209676763,524.341810839452,589.3009044435584,1098.7619758462677,537.4914462223181,469.66373060073647,1054.0904661033176,523.8583434646159,555.0954592729789,564.3810840458436,632.6507180038863,524.4452378078431,513.3719832894312,581.7247700847123,471.4694187052341,499.035853146119,594.1863015444433
dysplasia_FA_HN15_3_tumorales.csv,2527.347310623487,1466.5443691443668,1492.6408658545477,1760.1414207684845,1676.8604593477287,1160.9381215594995,1315.3504980857729,1604.7157483544001,1403.392672233799,0.0,1461.157918349967,1668.8087147289148,1700.6962908510225,1630.0520007459604,1627.0458395318353,1378.0549676766202,1229.933071878114,1940.880387357355,1682.0273931761046,1682.7740618509097,1637.1063440503028,1596.877452376033,1655.5564346361268,1627.1009045602775,1621.0450144249733,1048.414633675134,1640.0920479463107,1380.2291427868802,1392.0358921523125,1624.3906032006485,1622.5423527044184,1405.0440078042527,1054.4991607260386,1627.0458395318353,1620.8228863879406,1682.4541532925018,1382.7139073965436,1609.9742052960319,1516.4343208990151
