,stroma_ad_carcinoma_FA_HN14_2_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN15_1_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN14_5_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN14_4_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN11A_2_linfoides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN14_3_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN11A_4_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN15_1_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN14_3_linfoides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN15_2_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN11A_3_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN15_3_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN15_3_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN11A_1_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN14_1_linfoides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN14_2_linfoides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN14_4_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN15_5_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN11A_1_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN15_2_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN15_2_linfoides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN14_1_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN11A_5_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN11A_2_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN11A_3_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN11A_5_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN14_1_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN14_4_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN14_1_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN14_3_linfoides_notumorales_tumorales.csv,stroma_ad_dysplasia_FA_HN15_3_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN15_2_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN14_2_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN15_4_linfoides_notumorales_tumorales.csv,carcinoma_FA_HN11A_4_linfoides_notumorales_tumorales.csv,dysplasia_FA_HN14_2_linfoides_notumorales_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_linfoides_notumorales_tumorales.csv
stroma_ad_carcinoma_FA_HN14_2_linfoides_notumorales_tumorales.csv,0.0,5950.608606344513,6092.708057217977,1929.1902714434975,5787.199914180855,4768.345006886836,7858.833535278348,3101.588336220517,4879.962026943821,6995.58372728246,3813.288609692769,6395.852740359765,4400.1460489049105,9280.855158216573,2188.8733881370113,4502.694642105044,2112.4925450506084,4425.478317441141,4884.128140140602,3207.8750930274573,2946.8398774601405,4008.2057865779866,3448.682871177325,5685.070807254104,2940.1312759769435,2722.144385380753,2601.847256156929,5136.9191254192065,2354.009091078009,1773.2002718256065,3336.621413411559,6614.392356804057,5587.497594446314,6393.808693460484,6056.084931229181,4148.598709617167,4782.388511832601,4427.793081972917
stroma_ad_carcinoma_FA_HN11A_1_linfoides_notumorales_tumorales.csv,5950.608606344513,0.0,4758.385593727037,6724.6988024761,10165.009696691719,2817.1982406731736,10293.420323182416,5659.634005239551,6018.615239155794,10817.895484498353,5790.904608296106,4314.559921517342,8423.859846095887,12765.830226507303,5468.606171088633,8668.768879272688,4978.057325012039,4558.780932048507,3782.6298265887244,6955.12793809106,7157.256893395315,7044.308914201505,6460.294283129102,2517.879385408064,6755.1601658652535,6523.551963413644,6734.3340366311795,10704.009860042133,6112.488904457962,4790.596985112903,6275.1836145217985,8570.33574332976,7487.695131150995,10838.151496397644,2811.3404952960195,4727.877070131265,9864.447864257298,3200.5592491036496
stroma_ad_carcinoma_FA_HN15_1_linfoides_notumorales_tumorales.csv,6092.708057217977,4758.385593727037,0.0,6697.136543785737,10963.984019625073,2393.819549931187,5968.502459492485,4706.7371523845295,3399.022447031954,12006.50253760081,2723.967506215491,1704.3763738271628,5585.771288287686,10546.113083351604,6259.482501378134,9377.127240833184,4366.505998956991,2335.9330465537405,3204.2714760856875,8699.243979990162,6461.629689696935,4857.6413514024025,4181.761238343706,2505.8740106990554,5881.919546429965,6781.539378746552,6581.273641992985,9918.801000451087,6368.876346812606,5370.654069523165,4499.86734432316,4351.321867601114,3805.981357670044,10572.321245545314,2407.3513065220714,5533.406751800051,8650.441307816858,2309.5416515856505
stroma_ad_carcinoma_FA_HN14_5_linfoides_notumorales_tumorales.csv,1929.1902714434975,6724.6988024761,6697.136543785737,0.0,5152.842023410412,5402.458611367757,7620.022885676338,3406.270561851324,4982.722126242063,6437.051931290557,4334.527983350293,6891.5004281505935,2803.4657824710225,8462.388726593334,2766.966170147028,3721.4831738678317,2819.088820122506,4989.098994284359,5555.193263106473,2926.464133086138,3514.5437660978955,3571.5266598565886,3735.3097475197774,6321.98320033984,2792.803724680224,3691.3100148287945,1668.9015580308442,4476.292210193048,1238.5279150372792,2348.7382519629537,3881.234187774036,6669.4907107059,5898.37417980234,5521.651404686288,6773.823324073894,5515.232663492033,3406.9607078911868,5179.777571870232
carcinoma_FA_HN14_4_linfoides_notumorales_tumorales.csv,5787.199914180855,10165.009696691719,10963.984019625073,5152.842023410412,0.0,9917.751783948914,12034.478226610981,6954.05158627308,9342.270522943927,2137.4200584114383,9209.35885425543,11192.145806351857,6842.05338404488,10287.731424236536,4924.2745651003615,1864.4062126065867,7731.477380310905,9960.900216635384,9361.658970676166,3811.7438484514564,5900.574837671825,7397.542985519185,8234.708614540994,10522.753649537726,6002.730873964455,5262.231360728453,4743.125524981737,6079.82371287351,5292.97259369286,6435.167461028392,8896.641419345895,11185.598375879821,10927.911513603367,3837.001727101063,11292.53467992086,6646.935672451724,5483.636595903304,9824.727342290898
dysplasia_FA_HN11A_2_linfoides_notumorales_tumorales.csv,4768.345006886836,2817.1982406731736,2393.819549931187,5402.458611367757,9917.751783948914,0.0,7838.868691888726,4268.565785364938,3444.527158664258,10821.57471932566,3419.40847341672,2183.00710604988,5976.477949501857,10726.83977152142,5082.320102905198,8230.84151015289,3259.1946357517227,2347.849839518533,2011.51134150294,7214.846673142984,5770.310015720936,4817.457499041652,3916.455665895386,1399.0698731906587,5481.323911062257,5849.769476569866,5630.276993067375,9029.621302355119,5105.916188429382,3889.9487228080257,4030.868748691023,6123.497472041228,5202.486569797454,9919.466268626747,1884.0678394680258,4472.712803724388,7900.214656023437,1372.5875349976113
stroma_ad_dysplasia_FA_HN14_3_linfoides_notumorales_tumorales.csv,7858.833535278348,10293.420323182416,5968.502459492485,7620.022885676338,12034.478226610981,7838.868691888726,0.0,6446.635747832501,4983.4605711986305,13147.914322300852,5040.174228797283,6637.092490709587,5617.321225208316,7869.348688154256,8301.829662323444,10287.283433714254,7101.0993632596865,6074.737719155103,8614.999710409307,10382.454412163872,7162.072591577803,5223.25256255441,4991.9030210486335,8043.828055501466,6397.57480068539,8685.981321456586,7549.371650635377,7901.0063543356855,7804.329592221303,8209.374197215922,5674.458423285105,2200.599048685062,4071.42873774877,10288.298731576095,7860.539847487447,9462.919183015254,7308.855944678618,7508.65967333303
dysplasia_FA_HN11A_4_linfoides_notumorales_tumorales.csv,3101.588336220517,5659.634005239551,4706.7371523845295,3406.270561851324,6954.05158627308,4268.565785364938,6446.635747832501,0.0,3270.1644293364266,8500.55823207362,3784.7531870836974,4964.865666110343,4698.016717802516,7478.791716311847,3008.9899876576833,5697.282946457546,3096.8047581263954,4261.573397690191,3409.1559225540686,5504.008379057471,2293.7641823418694,2112.8367957371206,2804.696729653894,4963.0371121406,1675.9630344053562,2789.8832185694287,2659.356436920132,6672.209661391954,3750.1811644911027,3480.712630062927,3985.5645837185803,5440.489664085532,4983.291033530943,6056.008193366291,5782.358448482189,3479.4529623999892,6021.600660149158,4509.276541514338
carcinoma_FA_HN15_1_linfoides_notumorales_tumorales.csv,4879.962026943821,6018.615239155794,3399.022447031954,4982.722126242063,9342.270522943927,3444.527158664258,4983.4605711986305,3270.1644293364266,0.0,10623.75027123383,2897.1707457982184,3532.644177819072,4339.434593107634,8100.993631303765,5052.33197114684,7805.372702863621,3605.0230406460696,2549.493305651609,4223.484569147092,7584.755732559329,3947.157290469524,2884.0594540414813,2003.0169636373737,4404.327546919686,4290.958731428016,5355.959360025992,4873.980467006359,6825.966097523461,5115.2280691616525,4936.106584808734,2305.7925440768167,3484.991242243328,3592.440993789536,8344.594265303354,4983.703421729581,5246.957126734483,5511.077557231513,3602.516631527028
carcinoma_FA_HN14_3_linfoides_notumorales_tumorales.csv,6995.58372728246,10817.895484498353,12006.50253760081,6437.051931290557,2137.4200584114383,10821.57471932566,13147.914322300852,8500.55823207362,10623.75027123383,0.0,10259.0985743158,12330.61757674583,8035.652029441493,11829.792172222424,6096.041590759642,3008.2905420891802,8825.586833101988,11006.464775750013,10691.028535284637,4540.016955678025,7635.035464785337,9106.881664149862,9230.333345673918,11384.766413020892,7495.901914835994,6961.629012401066,6150.789694724575,7432.679386971821,6429.099637484752,7487.317096218742,10219.183272552811,12341.63473941211,12040.682640950514,5424.881257359146,12094.259438543007,7763.7933998996805,6775.295289745034,10779.668136518609
