,dysplasia_FA_HN11A_4_otras.csv,carcinoma_FA_HN11A_5_otras.csv,stroma_ad_dysplasia_FA_HN11A_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_3_otras.csv,dysplasia_FA_HN11A_3_otras.csv,stroma_ad_dysplasia_FA_HN15_2_otras.csv,stroma_ad_carcinoma_FA_HN11A_2_otras.csv,carcinoma_FA_HN14_3_otras.csv,carcinoma_FA_HN14_4_otras.csv,stroma_ad_carcinoma_FA_HN11A_1_otras.csv,stroma_ad_carcinoma_FA_HN14_1_otras.csv,stroma_ad_dysplasia_FA_HN14_2_otras.csv,stroma_ad_dysplasia_FA_HN11A_5_otras.csv,dysplasia_FA_HN15_5_otras.csv,dysplasia_FA_HN14_1_otras.csv,dysplasia_FA_HN11A_1_otras.csv,stroma_ad_dysplasia_FA_HN15_4_otras.csv,carcinoma_FA_HN14_2_otras.csv,dysplasia_FA_HN11A_5_otras.csv,carcinoma_FA_HN15_1_otras.csv,carcinoma_FA_HN15_2_otras.csv,stroma_ad_carcinoma_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_4_otras.csv,stroma_ad_carcinoma_FA_HN14_3_otras.csv,stroma_ad_carcinoma_FA_HN14_5_otras.csv,carcinoma_FA_HN11A_2_otras.csv,stroma_ad_dysplasia_FA_HN14_3_otras.csv,carcinoma_FA_HN14_1_otras.csv,stroma_ad_carcinoma_FA_HN14_4_otras.csv,dysplasia_FA_HN14_2_otras.csv,dysplasia_FA_HN11A_2_otras.csv,dysplasia_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_2_otras.csv,stroma_ad_carcinoma_FA_HN15_4_otras.csv,stroma_ad_dysplasia_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN15_5_otras.csv,stroma_ad_dysplasia_FA_HN14_4_otras.csv,stroma_ad_dysplasia_FA_HN14_1_otras.csv,stroma_ad_carcinoma_FA_HN14_2_otras.csv,carcinoma_FA_HN11A_1_otras.csv,stroma_ad_carcinoma_FA_HN15_3_otras.csv,dysplasia_FA_HN15_2_otras.csv,carcinoma_FA_HN11A_3_otras.csv,carcinoma_FA_HN11A_4_otras.csv,stroma_ad_carcinoma_FA_HN15_2_otras.csv,dysplasia_FA_HN15_3_otras.csv,stroma_ad_dysplasia_FA_HN15_3_otras.csv
dysplasia_FA_HN11A_4_otras.csv,0.0,inf,inf,inf,1137.041400612682,2633.204007350728,1519.0440649629616,1629.9291717294884,1244.955932099167,1896.2600553118116,3849.794582727943,1304.770566613523,inf,inf,inf,1787.6856871559705,1742.5945068664262,1386.8609042663174,4331.77743840716,inf,1949.4397000313616,2442.0071739587183,2142.3033464445407,1888.7145475469922,1098.258340575525,1043.4712465441276,1305.2164612808842,983.8339569444045,1099.1098520663882,1440.2033503139412,2035.2189599517606,inf,2562.951909389275,1617.706997083492,2339.9422371967016,1214.5247366219025,1242.810422414794,904.4519070074816,1578.5160861254392,2510.289659820373,2444.7867267377173,inf,inf,inf,1161.5753591096845,inf,inf
carcinoma_FA_HN11A_5_otras.csv,inf,0.0,inf,211.54871631391228,inf,inf,inf,inf,inf,inf,inf,inf,inf,509.62463885502564,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,737.1655983439277,inf
stroma_ad_dysplasia_FA_HN11A_1_otras.csv,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,755.1571887936234,inf,515.4683695459385,inf,inf,inf,inf,327.7224525757469,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,682.3678406693437,670.3375572670143,431.97168367553564,inf,inf,378.6707022155966
stroma_ad_dysplasia_FA_HN11A_3_otras.csv,inf,211.54871631391228,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,607.8266546272553,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,822.9461056288123,inf
dysplasia_FA_HN11A_3_otras.csv,1137.041400612682,inf,inf,inf,0.0,2850.7827585854047,1707.8664946065576,1773.570346230458,1368.4385489712975,2056.06837981942,4906.04702181531,1405.587945285789,inf,inf,inf,2002.218250297988,1977.466731649342,1218.933589545384,5347.536503617086,inf,2006.6011327599526,2634.7625076055974,2374.4612518416457,2673.9663992552764,1650.0682916623655,1086.8381152030956,557.9284716712174,1187.1096677978023,1196.9973022482238,1651.6209881705531,2225.0855534535867,inf,2840.115366318571,1920.1112134826924,2538.4845143382736,1719.2606989997387,1197.306826880336,1303.7512728055606,2544.5023561168878,2730.525374477613,2660.228113684848,inf,inf,inf,1115.123940291779,inf,inf
stroma_ad_dysplasia_FA_HN15_2_otras.csv,2633.204007350728,inf,inf,inf,2850.7827585854047,0.0,1355.1245172927142,1115.6234375637887,1808.145281572471,865.1244190795135,4486.375053382874,1826.9410233493643,inf,inf,inf,878.3252501026998,955.9809387656741,1870.0970485694756,5498.297850524214,inf,1141.3839868622445,540.5854433428565,540.6675898738221,3360.103827437981,2653.460586228761,1963.958782365387,2901.422004358101,1897.5412894014423,1961.8126028763954,1292.6241796733939,1031.4226812199438,inf,279.5825737503039,1131.2631426879025,414.8789438906698,1880.65411129207,2053.0057854866436,2750.6066038864906,2935.161018246339,195.6391742556055,221.82868671730483,inf,inf,inf,1849.8261930132915,inf,inf
stroma_ad_carcinoma_FA_HN11A_2_otras.csv,1519.0440649629616,inf,inf,inf,1707.8664946065576,1355.1245172927142,0.0,1417.0712656814696,706.9803741729611,1122.970677096953,3932.7867734312767,1125.1428516138003,inf,inf,inf,949.944740704997,1188.9699927095533,1331.9757842397312,4472.534471247765,inf,1578.6372621731223,1642.4451585470877,1345.6301341255435,2130.9497778852333,1335.6268344896343,1053.4078330495695,1840.954904765622,1074.1647562184935,705.1399197007786,1025.4281145980867,1301.4570179444197,inf,1458.6561584759534,1193.3964297755567,1151.0418789286134,742.2739432049859,832.3551875488748,1448.44285095317,1709.2732600169693,1321.3117222228661,1385.6433792195191,inf,inf,inf,1188.7815123033417,inf,inf
carcinoma_FA_HN14_3_otras.csv,1629.9291717294884,inf,inf,inf,1773.570346230458,1115.6234375637887,1417.0712656814696,0.0,1197.237014475223,449.85619166610195,4947.246320691172,876.8397994003936,inf,inf,inf,851.2616876238978,683.4309809881705,862.4209523164136,5667.949230195892,inf,506.619505116262,978.7201765690002,703.2170716200029,3249.9616887581547,2238.326852658871,958.7959914132047,1823.3453542580903,1013.2974536848744,1464.6365621888704,478.9607393801963,1007.7535437559729,inf,1166.0238428974544,534.5851055741169,863.6005909914147,1778.7062249876049,1368.3554406318908,2060.5002904720313,2927.3289034720374,996.4695572400536,945.8111224885051,inf,inf,inf,802.4113394460624,inf,inf
carcinoma_FA_HN14_4_otras.csv,1244.955932099167,inf,inf,inf,1368.4385489712975,1808.145281572471,706.9803741729611,1197.237014475223,0.0,1114.3696266019901,4292.277437372383,721.3777786019692,inf,inf,inf,1119.6414086426526,1319.410070707826,981.3207516076636,4763.012509377225,inf,1539.4709590321422,1921.4354458103924,1488.9122281938858,2148.265544596861,1153.1575407226212,677.9603716559826,1319.4857418861413,715.9766151662536,532.2665872488033,851.3451739709666,1666.1575007565477,inf,1639.9598251891696,983.0599210476303,1438.4574525887538,1017.1695835480336,395.1470257656822,1080.5380799837371,1939.1899665540911,1687.5202214021203,1627.425525976377,inf,inf,inf,776.3501560898048,inf,inf
stroma_ad_carcinoma_FA_HN11A_1_otras.csv,1896.2600553118116,inf,inf,inf,2056.06837981942,865.1244190795135,1122.970677096953,449.85619166610195,1114.3696266019901,0.0,4632.856147452598,1022.6402860999751,inf,inf,inf,564.3678230229109,415.9818908199334,1114.9588220080113,5357.514222603774,inf,615.9339856594656,862.6948133196618,496.01161769006586,3043.3550244731628,2069.5760315974576,1160.9161165517344,2088.8423233713484,1090.0213312615956,1314.6227934114222,602.7346305253809,894.3067224279646,inf,860.8008597151714,472.1263480607498,517.5221394885277,1508.4403047188373,1330.4748133616336,1992.540001161965,2677.286777013912,738.8188163794975,725.593624324616,inf,inf,inf,1102.33338891592,inf,inf
