,dysplasia_FA_HN11A_1_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_4_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_5_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN14_2_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_3_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN11A_4_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN11A_2_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN14_2_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_4_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN15_4_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN11A_3_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_2_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN14_3_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN15_3_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN15_1_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN14_4_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN11A_2_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN11A_5_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN15_2_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_4_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN14_1_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN11A_1_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN14_2_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_3_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_5_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN15_1_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN14_1_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN14_3_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_1_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_5_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN15_5_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN11A_5_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN11A_4_linfoides_mieloides_notumorales.csv,dysplasia_FA_HN15_2_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN14_4_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN15_2_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN15_3_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN14_1_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN11A_2_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_1_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_3_linfoides_mieloides_notumorales.csv,stroma_ad_carcinoma_FA_HN14_2_linfoides_mieloides_notumorales.csv,stroma_ad_dysplasia_FA_HN15_1_linfoides_mieloides_notumorales.csv,carcinoma_FA_HN11A_3_linfoides_mieloides_notumorales.csv
dysplasia_FA_HN11A_1_linfoides_mieloides_notumorales.csv,0.0,2205.288175294045,3798.6079834609436,3417.365547272801,1363.187584515282,6059.690271198444,2958.368117502232,9547.756497451164,4221.982615436686,4676.745370216409,5796.332327072314,5476.2114594672785,11759.822438923542,2278.560168013184,13683.010938818223,7121.253744714162,4825.555744917229,7340.482831404099,4286.995062258417,8866.97350249048,1537.160757909123,10172.880889160777,5806.526795105331,10843.988249061818,2932.4847151473346,3300.291158769139,2627.69642849848,6831.60322564712,5220.717621170828,11698.197193049264,2696.792494882301,3137.9475511609667,4743.4733882517785,4537.180052231306,5373.946328258258,6730.879886274373,9813.243417111202,8971.853550965861,7004.754791465532,8614.33944877151,1919.7277405439654,1356.2405558720193,9886.96130812602,2026.8889402831871,2480.4722429709686,6365.876541754872
stroma_ad_carcinoma_FA_HN14_4_linfoides_mieloides_notumorales.csv,2205.288175294045,0.0,4675.671918913256,2441.79291456703,2854.846699960283,6416.157850106889,1055.4875124271996,10425.341431759523,5975.486801052948,2853.2104760946163,4114.699300139287,3565.6751263288534,12869.513912278326,3763.186156403831,13594.399490203243,5452.536911029527,3860.586228479103,7746.086636574433,3409.201227418971,6974.306097443106,3607.6907049307188,11153.08313611947,7140.884804851446,10745.46993328277,1784.3734738465637,1798.3558254314787,3581.0486428982017,4835.0565570583185,3233.5172409832658,9830.851647209567,1062.3024388484648,1534.6876345756252,5636.512315951169,4416.833718509097,6703.6261336553,6797.666737428687,10525.059858341057,7445.930809235404,5334.986529757835,9048.863366549464,1707.1059688614343,1215.0532258142473,8014.936693448692,1710.1697180316805,1032.0655821766322,7540.532900767261
stroma_ad_dysplasia_FA_HN15_5_linfoides_mieloides_notumorales.csv,3798.6079834609436,4675.671918913256,0.0,4311.269657412405,3680.6364871674014,5796.941709555982,4853.303531305707,8181.179673088679,1891.9981691165303,6400.771976710201,6787.043922789259,6897.695867219596,10613.168173643864,2651.669239144415,11579.748986982933,7322.486029821133,3545.9684583764965,6048.483476636651,6062.962197172891,9744.344371992858,3823.6472840012566,8862.823997884809,5894.278241307298,8820.542582929254,5268.871737758025,4496.076798979901,1935.181917798022,8440.974324421833,7680.250632570508,12105.340192175221,5146.764311570064,6098.990190186039,6835.231157508281,5524.864619014561,6213.40759945931,7530.101473409956,8610.04901621475,8530.433756797247,7223.33332430267,7243.928199100584,3635.927071689315,4253.54957363298,10638.424270099455,5058.626677309312,4025.0498434502374,7299.86021761679
stroma_ad_dysplasia_FA_HN14_2_linfoides_mieloides_notumorales.csv,3417.365547272801,2441.79291456703,4311.269657412405,0.0,3548.040331162995,5331.150533181798,2715.7482452803533,9271.423175836595,5205.045156075434,3800.0659528034853,3859.9245655960185,3993.769443346058,11712.978381603516,4099.358391302458,12823.070701615967,4289.841428049777,2522.4744816641282,6637.709147941437,3326.5573303567076,6539.808429323028,4214.632145398331,10058.637045475629,5886.285836175042,9901.50799740282,1443.7701473537245,2164.711388978458,2770.486950886277,5519.006789123732,4081.39138084074,9044.502225325139,2654.9541136429807,2842.8274849215577,4822.7579857444225,3489.0963360363903,5642.309016592429,5286.603463061173,9259.445355063901,6306.941501291636,4233.265896826613,7907.050323070172,1981.8604939902516,2561.849707052461,7474.587831044749,2487.246016975783,1764.6887214520998,6237.7788103118555
stroma_ad_dysplasia_FA_HN11A_3_linfoides_mieloides_notumorales.csv,1363.187584515282,2854.846699960283,3680.6364871674014,3548.040331162995,0.0,5798.04476943661,3273.909591293893,9593.902061308647,3842.3699839318415,4955.882160659536,5775.634797064638,5901.745142079846,11782.25100951537,2021.035008227122,13571.08737869919,6948.8418180092785,4281.484024088486,7179.695908839013,4373.920259426196,8937.488932118773,1058.0690094856363,10207.637425596253,5761.334424291024,10763.069596898185,3370.4750648398176,3373.5583959539676,2561.5304520977966,6970.785855903492,5854.127362560967,11610.413618865567,3264.7660372294717,3729.1358571483383,4638.102757891081,4350.444412416945,5294.520238415955,6312.479688802279,9920.460927456148,8670.599744978288,6796.04383989482,8509.194090659877,1843.5865038851673,1838.2234100233534,10003.259748026192,2335.9226520667175,2751.157528354828,6289.804787780074
dysplasia_FA_HN11A_4_linfoides_mieloides_notumorales.csv,6059.690271198444,6416.157850106889,5796.941709555982,5331.150533181798,5798.04476943661,0.0,6241.293942928789,5887.749084858381,5633.453806709045,6689.013492920235,4093.542127445973,7558.564494509069,7748.381459201722,5237.199136379476,8013.6691800009685,3461.5237142934675,4512.271493247711,1898.7832441728074,4528.855679849497,7728.604641435887,6365.709881537442,6022.274592422169,2672.291467116875,5485.4531787200995,5973.767307871934,5203.21860042113,5110.096136765337,7578.299316270683,8234.191691331014,8580.467730173112,6941.271344943485,7391.4215112387,3505.0028775750557,2444.0212477183954,3385.2217963695,2875.0705233271638,5633.52745668073,3454.5079619272065,4859.951083374226,4292.232873328758,6150.360193452543,6269.628198941838,8995.390213553783,6877.180670463021,6182.111876550838,2900.2732608747483
dysplasia_FA_HN11A_2_linfoides_mieloides_notumorales.csv,2958.368117502232,1055.4875124271996,4853.303531305707,2715.7482452803533,3273.909591293893,6241.293942928789,0.0,10236.561241035924,5964.897235818433,2277.579054306531,3743.903944682632,2793.9351606564396,12720.205850797169,3813.4061196220127,13243.070749755843,4837.882253359511,3499.0139321686825,7550.216235006035,3090.5093957477575,6080.984573531684,4204.796068233655,10949.127306900824,7078.262289933875,10629.670952809545,2103.6145809763016,1610.3704406256472,4170.574088139115,3988.149655494041,3138.592409796961,8991.187683127428,1143.7838300259664,1840.4598626118216,5599.682364526826,4262.3353555883905,6786.089950384293,6993.863999484945,10602.215345276853,6723.59063540195,4566.69425560045,8975.246516109757,2350.0759839758693,2111.546187978516,7124.240138737179,2340.9828700342687,1469.862828149237,7811.734771197732
dysplasia_FA_HN14_2_linfoides_mieloides_notumorales.csv,9547.756497451164,10425.341431759523,8181.179673088679,9271.423175836595,9593.902061308647,5887.749084858381,10236.561241035924,0.0,7739.67391511371,10698.044547219955,9025.689640677323,11505.340289794794,2623.2110440374845,8482.5837304514,4993.267925378108,7368.720308141899,8146.159935097487,4539.202686661879,8962.51982157971,11717.250542924332,9807.161781463628,999.7236459495201,4977.808576240953,2273.046442184266,9902.659953229282,9135.921065082555,8972.124201960853,11493.976214371329,12235.038697429785,12583.681106103813,10967.438312539805,11361.61399663495,8588.211642038606,6812.768732970357,7518.750769437347,5787.098622461502,1585.8074134597907,6653.075880644693,8997.043802976972,2191.9684641411736,10079.299759851208,10225.885732203931,12841.394700909315,10808.293304014098,10210.174258823286,6556.197587331729
stroma_ad_dysplasia_FA_HN15_4_linfoides_mieloides_notumorales.csv,4221.982615436686,5975.486801052948,1891.9981691165303,5205.045156075434,3842.3699839318415,5633.453806709045,5964.897235818433,7739.67391511371,0.0,7059.757801055503,7024.345768100018,8142.712814622384,9442.79649723551,2717.1279214039687,11824.600701020863,7726.755094463564,4244.814530572174,6007.275419448226,5996.904500642025,10231.27985677635,3717.874342201492,7978.173309798237,4793.100929418923,9216.462706609715,6214.6974436491755,5291.996499830542,2708.017630652349,8842.376015586495,8916.895437883328,12314.028921165384,6461.934865206221,7195.1892681904765,5897.910950751675,5420.799884832777,5063.766502050848,7295.46755004747,8780.951756575556,8723.706223617524,7385.714895199395,7317.99562682152,4667.013119555572,5309.77301071739,11179.72016444451,5756.469029706554,5306.286174617503,6409.29662782605
stroma_ad_carcinoma_FA_HN15_4_linfoides_mieloides_notumorales.csv,4676.745370216409,2853.2104760946163,6400.771976710201,3800.0659528034853,4955.882160659536,6689.013492920235,2277.579054306531,10698.044547219955,7059.757801055503,0.0,3137.71622243844,2406.175481965321,12967.677100402505,4878.200318574238,12535.54973411286,5056.602373791677,4945.42815397723,7934.900215471114,2553.161858195057,4428.0154236419885,5895.299655320662,10906.30903234359,7927.940358984416,10942.576007380343,2818.182683815826,2278.338373191457,5891.004574825071,2615.753731514308,3195.6027358951674,7401.846954573771,2424.738552391504,2867.7340614976492,6191.80374428915,4981.786678224745,7561.154451395074,7681.584024189875,11442.320815765022,6794.144197718936,3797.134811158333,9669.738458150083,4047.2847310373436,3865.6660677396562,5594.489821762052,3753.84921002148,3103.797142420576,8705.120022588766
