,stroma_ad_carcinoma_FA_HN15_4_linfoides_mieloides.csv,carcinoma_FA_HN15_1_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN14_1_linfoides_mieloides.csv,dysplasia_FA_HN15_3_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN11A_1_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_4_linfoides_mieloides.csv,carcinoma_FA_HN11A_4_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN14_2_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN15_3_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN14_3_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN14_5_linfoides_mieloides.csv,dysplasia_FA_HN11A_1_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_1_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN14_1_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN14_4_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN15_2_linfoides_mieloides.csv,carcinoma_FA_HN14_1_linfoides_mieloides.csv,dysplasia_FA_HN15_1_linfoides_mieloides.csv,carcinoma_FA_HN14_3_linfoides_mieloides.csv,carcinoma_FA_HN11A_2_linfoides_mieloides.csv,dysplasia_FA_HN11A_5_linfoides_mieloides.csv,carcinoma_FA_HN14_2_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN15_4_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN15_2_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_5_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_3_linfoides_mieloides.csv,carcinoma_FA_HN11A_1_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN14_2_linfoides_mieloides.csv,dysplasia_FA_HN14_1_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN11A_2_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN15_1_linfoides_mieloides.csv,carcinoma_FA_HN11A_3_linfoides_mieloides.csv,dysplasia_FA_HN14_2_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN14_3_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN15_5_linfoides_mieloides.csv,carcinoma_FA_HN14_4_linfoides_mieloides.csv,carcinoma_FA_HN15_2_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN15_1_linfoides_mieloides.csv,dysplasia_FA_HN15_2_linfoides_mieloides.csv,dysplasia_FA_HN11A_3_linfoides_mieloides.csv,stroma_ad_dysplasia_FA_HN14_4_linfoides_mieloides.csv,carcinoma_FA_HN11A_5_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN11A_2_linfoides_mieloides.csv,stroma_ad_carcinoma_FA_HN15_3_linfoides_mieloides.csv,dysplasia_FA_HN11A_2_linfoides_mieloides.csv,dysplasia_FA_HN15_5_linfoides_mieloides.csv,dysplasia_FA_HN11A_4_linfoides_mieloides.csv
stroma_ad_carcinoma_FA_HN15_4_linfoides_mieloides.csv,0.0,4486.640868058131,3592.98191456698,10886.24529252372,4105.417537988363,4437.214923653306,4628.744703318274,4947.681355753378,6974.284851836938,2973.9642446738726,4723.464714835615,3391.0651195524683,1654.6361236202952,2175.774683388919,5284.573438399862,4265.4350514959215,7510.6657850916545,3338.6336318486296,10910.756783086727,5430.864119215462,1623.9660163547283,9029.73424888989,6067.525670436318,6268.610961318509,4931.459867760364,4014.3891796747257,5765.681375523302,3169.3649039835973,9795.469708475484,3001.834625456138,2460.1972019389623,5188.342374245379,9924.30243365988,8960.41548337345,5671.066508142309,9325.009445969014,6179.870186390361,2665.1181311479368,5121.072210324384,1874.7713134169692,5809.730214733006,2403.631326340392,2176.3776921371364,8473.378118960278,1841.3060613531227,3269.259321924208,4881.456799039852
carcinoma_FA_HN15_1_linfoides_mieloides.csv,4486.640868058131,0.0,5981.224157884626,7827.6399296067975,5971.5439553685765,6599.696622269097,4083.782766119476,3046.1247029122537,4447.6834584663775,3220.565641599488,1745.905926893073,6051.587663774577,3831.624640231034,2914.666868484819,3017.4517040052583,1973.9762160568014,4321.439278891068,4657.1559712649,7700.169029632032,3057.2075140064635,4240.112785249624,5809.903729032925,7013.009581238541,3703.6416765511262,5210.918526704905,6172.116353223909,2760.9702254887707,4163.892280746152,7046.429840581605,4629.850632327937,3750.938887034269,2452.5562231999575,7026.339239512558,6077.019774582692,6606.185141876751,5547.325715739158,2443.863059799148,4067.9942550593696,1174.5733032142437,4464.913161429331,5001.064787908291,2959.2317515561344,3576.537001559182,5568.687868550334,4301.083431540264,4169.646967913065,2632.128156480384
stroma_ad_carcinoma_FA_HN14_1_linfoides_mieloides.csv,3592.98191456698,5981.224157884626,0.0,12333.457457261038,2438.1440934908082,1109.2798908677423,3660.6006039178164,5217.650699823748,9328.176085001538,3044.024896500619,5512.455026508546,1125.3564192511321,2573.0680301024445,3874.0544133913677,6407.240063424858,6654.345587548943,8588.809804168495,3647.164576151113,11318.033549117645,6658.991502388358,4348.754162453913,10447.552794996136,4452.108089489947,8990.150870988307,3320.5114079975806,720.8211640850808,5381.0280152178775,2000.7227745350544,10639.819439101537,1678.3791033667503,5859.151946310469,4340.981890195521,10551.259118075222,10903.398785867466,3842.2825000498415,9859.067599580427,8024.958287513888,2383.9255580861713,6178.986541049392,5265.075709301873,6449.342709289899,4066.270433854163,3604.9634713655673,10398.495844045374,2816.2329890931424,3342.1358807355214,5767.399013849491
dysplasia_FA_HN15_3_linfoides_mieloides.csv,10886.24529252372,7827.6399296067975,12333.457457261038,0.0,10899.244385904987,12490.75677265024,9314.614454947521,7307.118391096843,5438.580498061119,9683.347753483156,7586.088597699756,12210.16839287515,10849.810444386449,10261.34612813299,6158.993562157435,6949.248112257219,3878.2715381014227,10831.944993021189,5257.626120904945,5717.619977519431,9977.785125557613,2525.2101229214504,10745.182581774121,5866.483826430947,10106.234305753367,12271.0024681905,7609.830508635137,10632.999972768464,3458.50128301254,11359.578586337988,9390.125072928176,8338.621699055115,4417.110881080583,3243.7117376116785,10755.50722294724,3833.48985105618,5709.01574319796,10338.688027148111,7340.363591962252,9407.050023504915,6740.639182981521,9036.387425567198,9101.556563069451,3008.55939005059,9707.21997025208,9977.421245475112,6673.2884302262655
stroma_ad_carcinoma_FA_HN11A_1_linfoides_mieloides.csv,4105.417537988363,5971.5439553685765,2438.1440934908082,10899.244385904987,0.0,1926.409733672171,3402.370731532139,4343.381590235702,8527.33634205268,3233.8172501506974,5414.785907673276,2204.6221631812978,3412.0506015326314,4537.308457846629,5613.234874439707,6218.420551669369,7309.106126947069,5034.239143887472,9638.620491819855,5380.72778269591,4646.296255127496,9038.066722780919,2374.339089430698,8398.660134420466,2035.6289454115579,1918.6113800578673,4143.145923415097,2880.9433046295553,8865.194471394894,2283.9101869806923,5967.476743057432,4376.488723164359,8803.102763503495,9745.048175905438,2131.6934686164773,8617.566401647468,7431.739035743635,2421.0154351785177,6228.71312559863,5513.273764338703,4610.697769054542,4023.0121255120903,3305.8220624243345,9266.932895819684,2763.805563027724,4047.008153741217,4927.321962207389
stroma_ad_dysplasia_FA_HN11A_4_linfoides_mieloides.csv,4437.214923653306,6599.696622269097,1109.2798908677423,12490.75677265024,1926.409733672171,0.0,3799.0512098401746,5381.073480265863,9745.044003376297,3571.795329126452,5933.650452405833,1297.7019025720795,3308.499723607507,4601.144274850221,6666.844725962878,7225.879553540669,8757.240287667175,4681.853453155565,11323.74009737007,6830.46085676397,5189.668462131345,10601.153737804238,3725.436495138528,9542.206512817507,3006.2562396446706,704.7536297140906,5397.408717212888,2612.4890621960953,10658.301687333118,2160.305471532355,6662.65766563673,4519.042929425679,10542.789835525884,11170.928078116423,3067.76751821967,9991.27611526176,8528.754847538485,2857.9137729002123,6793.385167017903,6088.6266305478375,6342.872806927088,4820.348505735969,4182.402380883697,10678.356738283828,3446.5420538987505,4198.289551683353,6068.801801292382
carcinoma_FA_HN11A_4_linfoides_mieloides.csv,4628.744703318274,4083.782766119476,3660.6006039178164,9314.614454947521,3402.370731532139,3799.0512098401746,0.0,3661.781298657386,7678.4086797303025,2518.6098886346776,4082.1348717987416,4127.392847356553,3577.3081384662355,3511.261938541295,4741.5512043719145,5280.386962386018,6215.986783457284,3232.580300365824,8421.754069822366,4537.853192659926,4247.571296417284,7776.186323388073,4288.988367198288,7470.944216010314,3037.568202791632,3680.9012897437888,2359.213280602913,2526.4216474876207,8158.253627514805,3485.872484072861,4955.572048786878,2127.453788648976,7950.162053422722,8885.369851708449,4612.9568965957615,7136.099794560675,5791.0409620328655,3137.0444769167234,4097.541484242474,4909.731293795827,4806.186968394142,3053.9103664371682,3019.5181319311228,8362.423665963137,3404.0924346136017,2467.96099582025,3698.9393635955785
stroma_ad_dysplasia_FA_HN14_2_linfoides_mieloides.csv,4947.681355753378,3046.1247029122537,5217.650699823748,7307.118391096843,4343.381590235702,5381.073480265863,3661.781298657386,0.0,4682.9364199206575,2710.831757833331,1888.6443052914362,5143.892161974047,4051.785620150974,3754.712992318705,1593.6564447639016,3167.2980232874575,3616.0578225634254,5659.46630844361,6842.2611411586695,1932.2534742056532,4951.761363808283,5432.783517849249,4957.301394917793,4850.651060302963,3143.548934677828,5086.671699298775,2467.4974653795884,3445.637916856443,5919.950088586393,4135.380219340719,5126.694814854787,2502.2054311434945,5953.578304978966,5888.664246378568,4360.391766208011,4988.054215232725,3772.517193142117,3208.6140498821646,3189.394853768539,5280.524242900658,2271.6608450821445,3156.8488971392135,2986.031479841369,5396.050911295908,3735.051060303371,4598.851716729551,2049.666279870039
stroma_ad_dysplasia_FA_HN15_3_linfoides_mieloides.csv,6974.284851836938,4447.6834584663775,9328.176085001538,5438.580498061119,8527.33634205268,9745.044003376297,7678.4086797303025,4682.9364199206575,0.0,6314.98126228514,3930.3259135727517,9344.45587602277,7127.703041877164,6164.138216085743,3571.2514878339407,3036.2829794348704,4584.6229179667525,8750.68968920557,7645.71787914617,3870.7012454962905,6555.237578814277,5067.79974298956,8965.180579293583,1519.739530952009,7679.889321154961,9364.649519396233,5887.6535450605425,7421.027305595105,6004.384961283618,8028.301696472888,5532.903828279804,6028.001012867214,6533.43550317645,2517.161331653381,8937.91392958421,6395.168382190682,3148.486108053798,7156.269569256708,4843.238113661709,5817.842176019971,5448.8112707161945,5777.469583872325,5800.249267464076,3278.140236889907,6595.099446879992,7753.614274796839,4667.957712709718
stroma_ad_carcinoma_FA_HN14_3_linfoides_mieloides.csv,2973.9642446738726,3220.565641599488,3044.024896500619,9683.347753483156,3233.8172501506974,3571.795329126452,2518.6098886346776,2710.831757833331,6314.98126228514,0.0,2575.6498836216133,3268.9854294551183,1816.1630264086573,1679.1803971130298,3606.371733255743,3729.1232820510468,6021.352163853219,3613.1213505394808,9144.64322649842,4049.036187817886,2984.1581272139983,7768.0663487735765,4655.491358993122,6019.339743026762,2735.286250144194,3150.3315772887954,3475.0364543567484,1229.7373708427467,8337.735914420866,1923.2263578990644,3757.456523935475,2842.186564799749,8300.198557001093,7987.704639664113,3929.741585934823,7326.105840776246,5024.0442809659535,1509.4525783478969,3392.6514878007865,3614.8346887553826,4334.575358119607,1848.1563068180776,1425.5309509596361,7477.050663572192,2175.1350599524144,2683.146168678104,3336.4606840951633
